pmid,fetch_date,fetch_status,error_message,source
38709531,2026-07-06T14:44:10Z,success,,esearch
38708875,2026-07-06T14:44:10Z,success,,esearch
38688524,2026-07-06T14:44:10Z,success,,esearch
38652500,2026-07-06T14:44:10Z,success,,esearch
38626362,2026-07-06T14:44:10Z,success,,esearch
38598641,2026-07-06T14:44:10Z,success,,esearch
38583757,2026-07-06T14:44:10Z,success,,esearch
38574386,2026-07-06T14:44:10Z,success,,esearch
38572081,2026-07-06T14:44:10Z,success,,esearch
38491175,2026-07-06T14:44:10Z,success,,esearch
38454152,2026-07-06T14:44:10Z,success,,esearch
38430005,2026-07-06T14:44:10Z,success,,esearch
38429859,2026-07-06T14:44:10Z,success,,esearch
38388857,2026-07-06T14:44:10Z,success,,esearch
38348508,2026-07-06T14:44:10Z,success,,esearch
38319287,2026-07-06T14:44:10Z,success,,esearch
38266708,2026-07-06T14:44:10Z,success,,esearch
38261044,2026-07-06T14:44:10Z,success,,esearch
38150249,2026-07-06T14:44:10Z,success,,esearch
38114529,2026-07-06T14:44:10Z,success,,esearch
38082229,2026-07-06T14:44:10Z,success,,esearch
38044023,2026-07-06T14:44:10Z,success,,esearch
38042410,2026-07-06T14:44:10Z,success,,esearch
37898724,2026-07-06T14:44:10Z,success,,esearch
37877288,2026-07-06T14:44:10Z,success,,esearch
37856781,2026-07-06T14:44:10Z,success,,esearch
37839528,2026-07-06T14:44:10Z,success,,esearch
37816982,2026-07-06T14:44:10Z,success,,esearch
37793724,2026-07-06T14:44:10Z,success,,esearch
37790335,2026-07-06T14:44:10Z,success,,esearch
37781885,2026-07-06T14:44:10Z,success,,esearch
37775523,2026-07-06T14:44:10Z,success,,esearch
37775319,2026-07-06T14:44:10Z,success,,esearch
37758268,2026-07-06T14:44:10Z,success,,esearch
37747628,2026-07-06T14:44:10Z,success,,esearch
37739776,2026-07-06T14:44:10Z,success,,esearch
37688423,2026-07-06T14:44:10Z,success,,esearch
37660951,2026-07-06T14:44:10Z,success,,esearch
37659725,2026-07-06T14:44:10Z,success,,esearch
37643330,2026-07-06T14:44:10Z,success,,esearch
37599907,2026-07-06T14:44:10Z,success,,esearch
37564908,2026-07-06T14:44:10Z,success,,esearch
37555839,2026-07-06T14:44:10Z,success,,esearch
37543749,2026-07-06T14:44:10Z,success,,esearch
37482537,2026-07-06T14:44:10Z,success,,esearch
37462694,2026-07-06T14:44:10Z,success,,esearch
37367904,2026-07-06T14:44:10Z,success,,esearch
37348500,2026-07-06T14:44:10Z,success,,esearch
37314861,2026-07-06T14:44:10Z,success,,esearch
37306155,2026-07-06T14:44:10Z,success,,esearch
37254152,2026-07-06T14:44:10Z,success,,esearch
37249585,2026-07-06T14:44:10Z,success,,esearch
37208353,2026-07-06T14:44:10Z,success,,esearch
37173745,2026-07-06T14:44:10Z,success,,esearch
37165447,2026-07-06T14:44:10Z,success,,esearch
37139568,2026-07-06T14:44:10Z,success,,esearch
37117188,2026-07-06T14:44:10Z,success,,esearch
37101016,2026-07-06T14:44:10Z,success,,esearch
37076174,2026-07-06T14:44:10Z,success,,esearch
37075493,2026-07-06T14:44:10Z,success,,esearch
