author_id,first_year,last_year,n_years_active,n_papers_total
Sandler DP,2007,2026,19,349
O'Brien KM,2015,2026,12,140
Weinberg CR,2007,2026,19,130
Taylor JA,2009,2026,16,101
White AJ,2013,2026,12,74
Nichols HB,2013,2026,13,61
D'Aloisio AA,2010,2026,16,47
Xu Z,2012,2026,15,41
DeRoo LA,2009,2018,10,38
Easton DF,2017,2025,9,35
