period,period_start,period_end,metric,value,top_x,period_type
2009,2009,2009,n_papers,6,NA,annual
2009,2009,2009,n_authors,19,NA,annual
2009,2009,2009,hhi,2.0555555555555545,NA,annual
2009,2009,2009,top_x_share,0.6666666666666666,1,annual
2009,2009,2009,top_x_share,0.6666666666666666,3,annual
2009,2009,2009,top_x_share,1,5,annual
2009,2009,2009,top_x_share,1,10,annual
2011,2011,2011,n_papers,10,NA,annual
2011,2011,2011,n_authors,25,NA,annual
2011,2011,2011,hhi,1.3700000000000003,NA,annual
2011,2011,2011,top_x_share,0.6,1,annual
2011,2011,2011,top_x_share,0.9,3,annual
2011,2011,2011,top_x_share,0.9,5,annual
2011,2011,2011,top_x_share,0.9,10,annual
2013,2013,2013,n_papers,8,NA,annual
2013,2013,2013,n_authors,21,NA,annual
2013,2013,2013,hhi,2.796875,NA,annual
2013,2013,2013,top_x_share,1,1,annual
2013,2013,2013,top_x_share,1,3,annual
2013,2013,2013,top_x_share,1,5,annual
2013,2013,2013,top_x_share,1,10,annual
2014,2014,2014,n_papers,6,NA,annual
2014,2014,2014,n_authors,18,NA,annual
2014,2014,2014,hhi,2.3888888888888875,NA,annual
2014,2014,2014,top_x_share,0.8333333333333334,1,annual
2014,2014,2014,top_x_share,1,3,annual
2014,2014,2014,top_x_share,1,5,annual
2014,2014,2014,top_x_share,1,10,annual
2015,2015,2015,n_papers,17,NA,annual
2015,2015,2015,n_authors,85,NA,annual
2015,2015,2015,hhi,1.7923875432525989,NA,annual
2015,2015,2015,top_x_share,1,1,annual
2015,2015,2015,top_x_share,1,3,annual
2015,2015,2015,top_x_share,1,5,annual
2015,2015,2015,top_x_share,1,10,annual
2016,2016,2016,n_papers,14,NA,annual
2016,2016,2016,n_authors,129,NA,annual
2016,2016,2016,hhi,1.9183673469387703,NA,annual
2016,2016,2016,top_x_share,0.8571428571428571,1,annual
2016,2016,2016,top_x_share,0.9285714285714286,3,annual
2016,2016,2016,top_x_share,0.9285714285714286,5,annual
2016,2016,2016,top_x_share,0.9285714285714286,10,annual
2017,2017,2017,n_papers,28,NA,annual
2017,2017,2017,n_authors,249,NA,annual
2017,2017,2017,hhi,2.0918367346938798,NA,annual
2017,2017,2017,top_x_share,0.9642857142857143,1,annual
2017,2017,2017,top_x_share,0.9642857142857143,3,annual
2017,2017,2017,top_x_share,1,5,annual
2017,2017,2017,top_x_share,1,10,annual
2018,2018,2018,n_papers,23,NA,annual
2018,2018,2018,n_authors,163,NA,annual
2018,2018,2018,hhi,1.6540642722117245,NA,annual
2018,2018,2018,top_x_share,0.9130434782608695,1,annual
2018,2018,2018,top_x_share,0.9130434782608695,3,annual
2018,2018,2018,top_x_share,0.9130434782608695,5,annual
2018,2018,2018,top_x_share,1,10,annual
2019,2019,2019,n_papers,42,NA,annual
2019,2019,2019,n_authors,417,NA,annual
2019,2019,2019,hhi,2.1445578231292095,NA,annual
2019,2019,2019,top_x_share,0.9523809523809523,1,annual
2019,2019,2019,top_x_share,0.9761904761904762,3,annual
2019,2019,2019,top_x_share,0.9761904761904762,5,annual
2019,2019,2019,top_x_share,1,10,annual
2020,2020,2020,n_papers,38,NA,annual
2020,2020,2020,n_authors,331,NA,annual
2020,2020,2020,hhi,1.8206371191135606,NA,annual
2020,2020,2020,top_x_share,0.8157894736842105,1,annual
2020,2020,2020,top_x_share,0.8947368421052632,3,annual
2020,2020,2020,top_x_share,0.8947368421052632,5,annual
2020,2020,2020,top_x_share,0.8947368421052632,10,annual
2021,2021,2021,n_papers,45,NA,annual
2021,2021,2021,n_authors,453,NA,annual
2021,2021,2021,hhi,2.207901234567946,NA,annual
2021,2021,2021,top_x_share,0.8666666666666667,1,annual
2021,2021,2021,top_x_share,0.8888888888888888,3,annual
2021,2021,2021,top_x_share,1,5,annual
2021,2021,2021,top_x_share,1,10,annual
2022,2022,2022,n_papers,31,NA,annual
2022,2022,2022,n_authors,294,NA,annual
2022,2022,2022,hhi,2.2851196670135643,NA,annual
2022,2022,2022,top_x_share,0.967741935483871,1,annual
2022,2022,2022,top_x_share,1,3,annual
2022,2022,2022,top_x_share,1,5,annual
2022,2022,2022,top_x_share,1,10,annual
2023,2023,2023,n_papers,30,NA,annual
2023,2023,2023,n_authors,176,NA,annual
2023,2023,2023,hhi,1.6255555555555492,NA,annual
2023,2023,2023,top_x_share,0.9,1,annual
2023,2023,2023,top_x_share,0.9333333333333333,3,annual
2023,2023,2023,top_x_share,0.9666666666666667,5,annual
2023,2023,2023,top_x_share,0.9666666666666667,10,annual
2024,2024,2024,n_papers,37,NA,annual
2024,2024,2024,n_authors,377,NA,annual
2024,2024,2024,hhi,2.2132943754565897,NA,annual
2024,2024,2024,top_x_share,0.9459459459459459,1,annual
2024,2024,2024,top_x_share,1,3,annual
2024,2024,2024,top_x_share,1,5,annual
2024,2024,2024,top_x_share,1,10,annual
2025,2025,2025,n_papers,31,NA,annual
2025,2025,2025,n_authors,275,NA,annual
2025,2025,2025,hhi,2.1071800208116644,NA,annual
2025,2025,2025,top_x_share,0.8709677419354839,1,annual
2025,2025,2025,top_x_share,0.9032258064516129,3,annual
2025,2025,2025,top_x_share,0.967741935483871,5,annual
2025,2025,2025,top_x_share,1,10,annual
2026,2026,2026,n_papers,18,NA,annual
2026,2026,2026,n_authors,161,NA,annual
2026,2026,2026,hhi,1.9938271604938298,NA,annual
2026,2026,2026,top_x_share,0.8333333333333334,1,annual
2026,2026,2026,top_x_share,1,3,annual
2026,2026,2026,top_x_share,1,5,annual
2026,2026,2026,top_x_share,1,10,annual
2005-2009,2005,2009,n_papers,8,NA,five_year
2005-2009,2005,2009,n_authors,20,NA,five_year
2005-2009,2005,2009,hhi,1.703125,NA,five_year
2005-2009,2005,2009,top_x_share,0.625,1,five_year
2005-2009,2005,2009,top_x_share,1,3,five_year
2005-2009,2005,2009,top_x_share,1,5,five_year
2005-2009,2005,2009,top_x_share,1,10,five_year
2010-2014,2010,2014,n_papers,31,NA,five_year
2010-2014,2010,2014,n_authors,50,NA,five_year
2010-2014,2010,2014,hhi,1.613943808532776,NA,five_year
2010-2014,2010,2014,top_x_share,0.7419354838709677,1,five_year
2010-2014,2010,2014,top_x_share,0.9354838709677419,3,five_year
2010-2014,2010,2014,top_x_share,0.967741935483871,5,five_year
2010-2014,2010,2014,top_x_share,0.967741935483871,10,five_year
2015-2019,2015,2019,n_papers,124,NA,five_year
2015-2019,2015,2019,n_authors,656,NA,five_year
2015-2019,2015,2019,hhi,1.590530697190388,NA,five_year
2015-2019,2015,2019,top_x_share,0.9435483870967742,1,five_year
2015-2019,2015,2019,top_x_share,0.9516129032258065,3,five_year
2015-2019,2015,2019,top_x_share,0.967741935483871,5,five_year
2015-2019,2015,2019,top_x_share,0.967741935483871,10,five_year
2020-2024,2020,2024,n_papers,181,NA,five_year
2020-2024,2020,2024,n_authors,1005,NA,five_year
2020-2024,2020,2024,hhi,1.6988187173773113,NA,five_year
2020-2024,2020,2024,top_x_share,0.8950276243093923,1,five_year
2020-2024,2020,2024,top_x_share,0.9392265193370166,3,five_year
2020-2024,2020,2024,top_x_share,0.9613259668508287,5,five_year
2020-2024,2020,2024,top_x_share,0.9668508287292817,10,five_year
2025-2029,2025,2029,n_papers,49,NA,five_year
2025-2029,2025,2029,n_authors,365,NA,five_year
2025-2029,2025,2029,hhi,1.8363182007496914,NA,five_year
2025-2029,2025,2029,top_x_share,0.8571428571428571,1,five_year
2025-2029,2025,2029,top_x_share,0.8775510204081632,3,five_year
2025-2029,2025,2029,top_x_share,0.9591836734693877,5,five_year
2025-2029,2025,2029,top_x_share,0.9795918367346939,10,five_year
