author_id,first_year,last_year,n_years_active,n_papers_total
Judd SE,2010,2026,17,345
Safford MM,2007,2026,20,306
Howard VJ,2001,2026,23,296
Howard G,2001,2025,23,276
Cushman M,2005,2026,22,247
Muntner P,2010,2025,16,153
McClure LA,2006,2025,20,133
Levitan EB,2011,2026,16,100
Irvin MR,2012,2026,15,84
Wadley VG,2007,2026,19,79
