paper_id,list_index,pubmed_pmid,fetch_date,fetch_status,source
show_pmid_33887198,72,33887198,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_39822591,129,39822591,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_36086823,91,36086823,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_35433595,85,35433595,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_38604574,117,38604574,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_40533471,121,40533471,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1101_2020_12_18_20248479,79,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_32217918,64,32217918,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_31978285,57,31978285,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1101_2021_02_18_21252017,86,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_25391283,15,25391283,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_29588324,49,29588324,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1101_2022_08_24_22279186,96,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_32708240,65,32708240,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_35859546,99,35859546,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1080_10253890_2023_2174780,106,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_36288361,90,36288361,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1016_j_jth_2019_100625,53,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_38759771,114,38759771,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1101_2021_11_22_21266369,81,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_24467991,7,24467991,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_31518933,56,31518933,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_21182792,1,21182792,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_32185142,63,32185142,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_5897_JTEHS2022_0506,87,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_34112016,70,34112016,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_22901794,6,22901794,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_37580384,107,37580384,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1016_j_mhpa_2025_100673,118,NA,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1016_j_sleh_2015_04_014,21,NA,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1093_poq_nfv041,24,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_29095587,35,29095587,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_34930464,78,34930464,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_37377642,102,37377642,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_26546508,40,26546508,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_24780842,13,24780842,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_33226072,62,33226072,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_36639063,104,36639063,2026-06-25T00:36:22Z,success,reach_csv
show_idx_83,83,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_23000660,4,23000660,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_29681429,45,29681429,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_34647224,75,34647224,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1093_geroni_igab046_1580,80,NA,2026-06-25T00:36:22Z,success,reach_csv
show_idx_69,69,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_37284918,105,37284918,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_36014913,94,36014913,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_27612573,39,27612573,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_33447745,55,33447745,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_37047917,101,37047917,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_25745697,9,25745697,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1016_j_landurbplan_2019_103619,61,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_26296180,22,26296180,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_26614251,41,26614251,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_32659060,68,32659060,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_28605871,44,28605871,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_26853993,33,26853993,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_31297308,59,31297308,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_35857694,95,35857694,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1016_j_clnu_2013_06_005,11,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_24322907,14,24322907,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_25427430,19,25427430,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_39718062,130,39718062,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_37715463,115,37715463,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_38973742,124,38973742,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_24662966,8,24662966,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_29095585,36,29095585,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1007_s11205_025_03625_7,122,NA,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_2105_AJPH_2014_302338,18,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_37263020,108,37263020,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_35486882,93,35486882,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1007_s10900_015_0078_1,31,NA,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1016_j_envint_2018_02_016,46,NA,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1016_S2214_109X_21_00127_3,73,NA,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1016_j_jbi_2015_07_007,23,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_40584435,128,40584435,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_41124018,120,41124018,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1016_j_contraception_2022_07_014,98,NA,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1044_2023_AJA_22_00223,103,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_31197537,60,31197537,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_38680935,116,38680935,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_27253229,32,27253229,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_27253230,42,27253230,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_33722524,82,33722524,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1016_j_ypmed_2015_05_009,17,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_27003842,34,27003842,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1177_0163278720958186,71,NA,2026-06-25T00:36:22Z,success,reach_csv
show_idx_2,2,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_39266396,123,39266396,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_40990727,119,40990727,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1016_j_dhjo_2022_101394,92,NA,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1186_s12889_015_1576_x,20,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_27332185,37,27332185,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_27574335,50,27574335,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_31011518,52,31011518,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_31238264,58,31238264,2026-06-25T00:36:22Z,success,reach_csv
show_idx_25,25,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_23106415,5,23106415,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_38833849,112,38833849,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_30241655,48,30241655,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_35877032,97,35877032,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_31677489,54,31677489,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_32564803,66,32564803,2026-06-25T00:36:22Z,success,reach_csv
show_idx_12,12,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_37399294,109,37399294,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_39841520,125,39841520,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_40532381,127,40532381,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_25190819,10,25190819,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_36280595,89,36280595,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1016_j_jth_2022_101528,88,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_29316641,47,29316641,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1093_geroni_igae098_1811,111,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_28193558,43,28193558,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_34555747,77,34555747,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_22542201,3,22542201,2026-06-25T00:36:22Z,success,reach_csv
show_doi_10_1177_01939459211019042,74,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_42258648,131,42258648,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_37737937,110,37737937,2026-06-25T00:36:22Z,success,reach_csv
show_idx_67,67,NA,2026-06-25T00:36:22Z,success,reach_csv
show_idx_51,51,NA,2026-06-25T00:36:22Z,success,reach_csv
show_idx_16,16,NA,2026-06-25T00:36:22Z,success,reach_csv
show_pmid_34087322,76,34087322,2026-06-25T00:36:22Z,success,reach_csv
show_idx_84,84,NA,2026-06-25T00:36:22Z,success,reach_csv
show_idx_113,113,NA,2026-06-25T00:36:22Z,success,reach_csv
