author_id,first_year,last_year,n_years_active,n_papers_total
Psaty BM,1991,2026,36,665
Siscovick DS,1992,2026,35,361
Newman AB,1991,2025,34,304
Rotter JI,2008,2026,19,294
Tracy RP,1992,2026,34,232
Heckbert SR,1995,2026,31,229
Kuller LH,1991,2024,33,229
Boerwinkle E,2009,2026,18,211
Bis JC,2006,2026,19,196
Uitterlinden AG,2009,2025,14,186
