dataset,metric,value,computed_date
CHS,n_central_pmid,1866,2026-07-06
CHS,n_central_no_pmid,0,2026-07-06
CHS,n_query_hits,2018,2026-07-06
CHS,n_overlap,1064,2026-07-06
CHS,n_central_only,802,2026-07-06
CHS,n_search_only,954,2026-07-06
CHS,n_union,2820,2026-07-06
CHS,coverage_ratio,0.6617,2026-07-06
CHS,curated_share_of_query,0.5273,2026-07-06
