author_id,first_year,last_year,n_years_active,n_papers_total
Vasan RS,1995,2026,30,878
Levy D,1983,2026,41,762
Benjamin EJ,1992,2025,33,586
Larson MG,1992,2025,33,525
Kannel WB,1969,2014,43,475
Cupples LA,1984,2025,38,444
Seshadri S,1997,2026,27,444
D'Agostino RB,1984,2025,38,416
Psaty BM,2004,2026,21,395
Wilson PW,1980,2025,43,390
