author_id,first_year,last_year,n_years_active,n_papers_total
Malecki K,2010,2025,15,82
Schultz AA,2017,2025,9,35
Peppard PE,2010,2025,14,30
Nieto FJ,2010,2022,9,24
Walsh MC,2012,2024,9,18
Bersch AJ,2010,2025,9,17
Cadmus-Bertram L,2018,2025,7,12
Engelman CD,2010,2024,9,12
Sethi AK,2018,2025,7,11
LeCaire TJ,2016,2025,7,10
