author_id,first_year,last_year,n_years_active,n_papers_total
Lima JA,2004,2026,23,313
Budoff MJ,2006,2026,21,252
Bluemke DA,2002,2026,24,238
Rotter JI,2007,2026,19,218
Barr RG,2006,2026,21,185
Allison MA,2006,2026,21,179
Psaty BM,2006,2026,20,169
Post WS,2004,2026,23,167
McClelland RL,2006,2025,20,162
Rich SS,2009,2026,18,157
