Set,Spec,Sex,coef,se,pval,n
Visegrad,Simple DiD,Total,0.009038418385899312,0.029151285369190708,0.7565213073652215,160.0
Visegrad,Simple DiD,Male,0.012354495220635343,0.02212555429158999,0.5765840563283258,160.0
Visegrad,Simple DiD,Female,0.0016260150358920616,0.03828412159531101,0.966122186172466,160.0
Visegrad,Triple-Diff,Total,-0.009930483322113284,0.007216507970550656,0.16879725137209534,560.0
Visegrad,Triple-Diff,Male,-0.0014158273467127433,0.006195712437504854,0.819244124881124,560.0
Visegrad,Triple-Diff,Female,-0.02866984383223488,0.013435608938922854,0.03285341782600602,560.0
CEE-broad,Simple DiD,Total,0.01693617729291555,0.012862967849058046,0.18795204245197317,398.0
CEE-broad,Simple DiD,Male,0.014596264511128415,0.017017461836419303,0.3910455634866544,398.0
CEE-broad,Simple DiD,Female,0.019659861448408464,0.015803180248971427,0.21348313948803876,398.0
CEE-broad,Triple-Diff,Total,-0.013707778569957259,0.008120888034437373,0.09141785796900564,1393.0
CEE-broad,Triple-Diff,Male,-0.005026250620809539,0.01103717766257329,0.6488267145396722,1393.0
CEE-broad,Triple-Diff,Female,-0.026350534637394785,0.008584522744076808,0.002143888038839445,1393.0
EU-mixed,Simple DiD,Total,0.016038432312756923,0.009785196545418734,0.10120272107099282,518.0
EU-mixed,Simple DiD,Male,0.022861007781580428,0.013314840361784862,0.08598703694002162,518.0
EU-mixed,Simple DiD,Female,0.013825147525271086,0.012842269603557875,0.2816882368913666,518.0
EU-mixed,Triple-Diff,Total,-0.01003100942902499,0.006838376502035835,0.14241141930950207,1813.0
EU-mixed,Triple-Diff,Male,0.003573902747817388,0.009517419445372068,0.7072799160306888,1813.0
EU-mixed,Triple-Diff,Female,-0.020964164563385446,0.008138206935820805,0.009994554945162302,1813.0
