Bandwidth,Ages,Coef,SE,P-value,N
5,70-79,-0.05668015581801403,0.011665403881387582,1.1808445763721237e-06,200
7,68-81,-0.07459229865704009,0.012050956075872787,6.026309526834201e-10,280
10,65-84,-0.08522881483518496,0.009989081880601887,1.4359421406027156e-17,400
12,63-86,-0.08254882036290434,0.008846323065665436,1.0445468513025864e-20,480
15,60-89,-0.06989024540047395,0.00901165411987201,8.796823613144851e-15,600
