Specification,Sex,coef,se,pval,n,r2
Basic DiD,Total,-0.08522881483518563,0.00952421587406519,3.598765786766391e-19,400.0,
Basic DiD,Male,-0.04390639484414449,0.009009188062924792,1.0963106857104257e-06,400.0,
Basic DiD,Female,-0.13183740677786837,0.013219890614789509,2.0078857533972415e-23,400.0,
TWFE DiD,Total,-0.08522881483518496,0.009989081880601887,1.4359421406027156e-17,400.0,0.9974481050752304
TWFE DiD,Male,-0.04390639484414438,0.009448916155224153,3.372670301529943e-06,400.0,0.9975063497977866
TWFE DiD,Female,-0.13183740677786737,0.013865138248632761,1.9333231502980363e-21,400.0,0.9963241764064209
