Age Group,Pre-Policy Mortality (per 1000),Post-Policy Mortality (per 1000),Change (%),Avg Annual Deaths,Avg Exposure
60-64,15.1,13.5,-10.4,"29,676","1,991,754"
65-69,21.6,19.7,-8.6,"34,101","1,583,930"
70-74,31.9,27.4,-14.0,"43,425","1,358,089"
75-79,50.0,41.6,-16.8,"54,625","1,099,829"
80-84,83.2,68.4,-17.8,"56,452","691,523"
85-89,140.8,121.1,-14.0,"44,193","320,622"
