dataset,metric,value,top_x,year,computed_date
PROSPER,top_x_share,0.75,3,2013,2026-06-24
PROSPER,top_x_share,0.9166666666666666,5,2013,2026-06-24
PROSPER,top_x_share,0.9166666666666666,10,2013,2026-06-24
PROSPER,top_x_share,1,20,2013,2026-06-24
PROSPER,top_x_share,0.4375,1,2014,2026-06-24
PROSPER,top_x_share,0.875,3,2014,2026-06-24
PROSPER,top_x_share,0.9375,5,2014,2026-06-24
PROSPER,top_x_share,1,10,2014,2026-06-24
PROSPER,top_x_share,1,20,2014,2026-06-24
PROSPER,top_x_share,0.6,1,2015,2026-06-24
PROSPER,top_x_share,0.9333333333333333,3,2015,2026-06-24
PROSPER,top_x_share,0.9333333333333333,5,2015,2026-06-24
PROSPER,top_x_share,1,10,2015,2026-06-24
PROSPER,top_x_share,1,20,2015,2026-06-24
PROSPER,top_x_share,0.625,1,2016,2026-06-24
PROSPER,top_x_share,0.875,3,2016,2026-06-24
PROSPER,top_x_share,0.9375,5,2016,2026-06-24
PROSPER,top_x_share,1,10,2016,2026-06-24
PROSPER,top_x_share,1,20,2016,2026-06-24
PROSPER,top_x_share,0.45454545454545453,1,2017,2026-06-24
PROSPER,top_x_share,0.6363636363636364,3,2017,2026-06-24
PROSPER,top_x_share,0.7272727272727273,5,2017,2026-06-24
PROSPER,top_x_share,1,10,2017,2026-06-24
PROSPER,top_x_share,1,20,2017,2026-06-24
PROSPER,top_x_share,0.7058823529411765,1,2018,2026-06-24
PROSPER,top_x_share,0.8235294117647058,3,2018,2026-06-24
PROSPER,top_x_share,0.9411764705882353,5,2018,2026-06-24
PROSPER,top_x_share,1,10,2018,2026-06-24
PROSPER,top_x_share,1,20,2018,2026-06-24
