author_id,first_year,last_year,n_years_active,n_papers_total
Spoth R,1993,2018,25,164
Redmond C,1993,2018,25,72
Feinberg ME,2007,2019,13,69
Greenberg MT,2004,2018,14,52
Shin C,1996,2018,21,40
Trudeau L,2001,2018,16,32
Guyll M,2002,2014,11,23
Mason WA,2003,2017,9,17
Osgood DW,2010,2018,7,17
Chilenski SM,2007,2018,8,15
