test,F,df1,df2,pvalue
mfull_joint_nk_meanage,137.65348648814995,2.0,1936.0,1.1102230246251565e-16
mfull_nk_only,80.30624740830665,1.0,1936.0,1.1102230246251565e-16
mfull_meanage_only,9.197586629293971,1.0,1936.0,0.002455527167803173
mcounts_nk,256.27892741226196,1.0,1936.0,1.1102230246251565e-16
mfact_joint_nkf,50.15068598905,3.0,1936.0,1.1102230246251565e-16
mfact_meanage,9.581360826584296,1.0,1936.0,0.0019937701475417624
mint_interaction,47.83700779895449,1.0,1936.0,6.2697624869656465e-12
mint_joint_all_kid_terms,107.61932690268726,3.0,1936.0,1.1102230246251565e-16
