term,b,se,z,pvalue,ll,ul,or,or_low,or_high,model,sample
const,-2.1381716848040693,0.012221142691609689,-174.95677276332032,0.0,-2.162124684329549,-2.1142186852785896,0.11787014992361479,0.11508035168147761,0.12072757894822796,mcounts,all
sex_male,0.4296091354147659,0.010601586755358001,40.52309765777685,0.0,0.4088304071952874,0.45038786363424443,1.5366567814359982,1.5050564520953689,1.5689205947363463,mcounts,all
age_c,0.08324446226301656,0.0006362435628701024,130.83741372171968,0.0,0.08199744779439572,0.0844914767316374,1.0868074594871098,1.0854530395266833,1.0881635694823535,mcounts,all
age_c_sq,0.000771591144926023,2.2143027561943933e-05,34.845783521134955,0.0,0.0007281916083959351,0.0008149906814561109,1.0007718888979498,1.0007284568042725,1.0008153228766008,mcounts,all
race_1,-0.27462228718723286,0.026548508985201894,-10.34416988691557,0.0,-0.3266564086414666,-0.22258816573299914,0.7598590775378801,0.7213315437381436,0.8004444318690705,mcounts,all
race_3,0.3042882396340951,0.023353127678959616,13.029870937084313,0.0,0.2585169504569688,0.35005952881122143,1.3556597546511997,1.2950081006459166,1.419152026511878,mcounts,all
race_4,-0.5340585009386932,0.047342701099169694,-11.280693507959977,0.0,-0.6268484900239106,-0.4412685118534758,0.586220956887811,0.5342729170164858,0.6432199711965874,mcounts,all
race_5,0.19715484059757873,0.02280708585917603,8.64445557906544,0.0,0.15245377372128097,0.2418559074738765,1.2179326115197013,1.1646886216293575,1.2736106618162308,mcounts,all
yeardec_2,0.4119469226673586,0.015372724430706763,26.797261898775826,0.0,0.38181693643891434,0.44207690889580287,1.509754300470852,1.4649438827407013,1.5559354011062032,mcounts,all
yeardec_3,-0.3713115594802107,0.013674559713447648,-27.153456291178472,0.0,-0.3981132040230105,-0.34450991493741095,0.689828985314601,0.6715859971219378,0.708567526749327,mcounts,all
yeardec_4,-2.1788070479912,0.021359716066929345,-102.00543121285148,0.0,-2.220671322202383,-2.136942773780017,0.11317646423015129,0.1085362215869707,0.11801509089179836,mcounts,all
nk_under18,-0.145884413136433,0.0091128126935362,-16.00871410864289,0.0,-0.1637451978136234,-0.1280236284592426,0.8642575942361166,0.8489583107573208,0.8798325898105462,mcounts,all
