term,b,se,z,pvalue,ll,ul,or,or_low,or_high,model,sample
const,-2.1247742109475816,0.012169389618967841,-174.5999000340821,0.0,-2.148625776314594,-2.100922645580569,0.11945993796806915,0.11664434310211115,0.1223434964766555,mfact,all
sex_male,0.4293341210061352,0.010612511603164532,40.45546775921664,0.0,0.4085339804784193,0.4501342615338511,1.53623423678558,1.504610379269791,1.5685227636257055,mfact,all
age_c,0.08229112456107598,0.0006480656617006974,126.97960935798095,0.0,0.0810209392045255,0.08356130991762648,1.085771858678312,1.084393602668468,1.0871518664410473,mfact,all
age_c_sq,0.0007829029525594481,2.243800474167612e-05,34.89182579167978,0.0,0.0007389252713808239,0.0008268806337380723,1.00078320950107,1.0007391983439151,1.0008272225937762,mfact,all
race_1,-0.2722725397422398,0.026553893648258744,-10.253582519718117,0.0,-0.32431721494213384,-0.22022786454234577,0.7616466538177971,0.7230208529808536,0.8023359532165651,mfact,all
race_3,0.30332873333612137,0.023317333277079858,13.008723155931522,0.0,0.25762759989752754,0.3490298667747152,1.354359614424818,1.29385689645505,1.4176915315832743,mfact,all
race_4,-0.5256204824767505,0.04747059622262981,-11.07254857326146,0.0,-0.6186611413977481,-0.432579823555753,0.5911884284796143,0.538665151491823,0.6488330589054292,mfact,all
race_5,0.19704504779883503,0.022785506714368034,8.647823823666945,0.0,0.15238627526917808,0.24170382032849197,1.2177988986300918,1.1646100096033405,1.2734169767352228,mfact,all
yeardec_2,0.4174416601872941,0.01536882220975116,27.161590816141857,0.0,0.38731932217138254,0.4475639982032057,1.5180728372300287,1.4730267862932294,1.5644964236766246,mfact,all
yeardec_3,-0.36759304675374954,0.013710783192419067,-26.8105068539774,0.0,-0.394465688010728,-0.3407204054967711,0.6923988983414696,0.6740400907521231,0.7112577441640413,mfact,all
yeardec_4,-2.174622824381144,0.021279996880918545,-102.19093717683276,0.0,-2.216330851858869,-2.1329147969034192,0.11365101197847786,0.1090083437127898,0.11849141160940911,mfact,all
nkf_1,-0.3634823288130449,0.044878441670260505,-8.099263594838964,4.440892098500626e-16,-0.45144245816903705,-0.2755221994570527,0.6952510130182392,0.6367090627186679,0.7591755786213276,mfact,all
nkf_2,-0.52272941736794,0.04428681037322354,-11.803275353602569,0.0,-0.609529970689613,-0.43592886404626696,0.5929000657531325,0.5436063199387828,0.6466637253401611,mfact,all
nkf_3,-0.4335178226923424,0.04620971325345116,-9.381530249161743,0.0,-0.5240871964050299,-0.34294844897965493,0.6482247394025716,0.5920955847500772,0.7096747950770411,mfact,all
minors_mean_age_ctr,0.010058056120433818,0.0032493796529789796,3.095377331858637,0.0019656266033458714,0.0036893890284977592,0.016426723212369876,1.0101088083805392,1.0036962032016676,1.0165623836308812,mfact,all
