sex,raceth5,age,year,kappa,raceth5_label
f,1,18,1983,1.1219162582237876,Hispanic
f,1,18,1984,1.1219162582237876,Hispanic
f,1,18,1985,1.1219162582237876,Hispanic
f,1,18,1986,1.1219162582237876,Hispanic
f,1,18,1987,1.1219162582237876,Hispanic
f,1,18,1988,1.1219162582237876,Hispanic
f,1,18,1989,1.1219162582237876,Hispanic
f,1,18,1990,1.1219162582237876,Hispanic
f,1,18,1991,1.1219162582237876,Hispanic
f,1,18,1992,1.1219162582237876,Hispanic
f,1,18,1993,1.1219162582237876,Hispanic
f,1,18,1994,1.1219162582237876,Hispanic
f,1,18,1995,1.1219162582237876,Hispanic
f,1,18,1996,1.1219162582237876,Hispanic
f,1,18,1997,1.1219162582237876,Hispanic
f,1,18,1998,1.1219162582237876,Hispanic
f,1,18,1999,1.1219162582237876,Hispanic
f,1,18,2000,1.3240842154729544,Hispanic
f,1,18,2001,1.3240842154729544,Hispanic
f,1,18,2002,1.3240842154729544,Hispanic
f,1,18,2003,1.3240842154729544,Hispanic
f,1,18,2004,1.3240842154729544,Hispanic
f,1,18,2005,1.3240842154729544,Hispanic
f,1,18,2006,1.3240842154729544,Hispanic
f,1,18,2007,1.3240842154729544,Hispanic
f,1,18,2008,1.3240842154729544,Hispanic
f,1,18,2009,1.3240842154729544,Hispanic
f,1,18,2010,0.9140238662884603,Hispanic
f,1,18,2011,0.9140238662884603,Hispanic
f,1,18,2012,0.9140238662884603,Hispanic
f,1,18,2013,0.9140238662884603,Hispanic
f,1,18,2014,0.9140238662884603,Hispanic
f,1,18,2015,0.9140238662884603,Hispanic
f,1,18,2016,0.9140238662884603,Hispanic
f,1,18,2017,0.9140238662884603,Hispanic
f,1,18,2018,0.9140238662884603,Hispanic
f,1,18,2019,0.9140238662884603,Hispanic
f,1,18,2020,0.9140238662884603,Hispanic
f,1,18,2021,0.9140238662884603,Hispanic
f,1,19,1983,1.1219162582237876,Hispanic
f,1,19,1984,1.1219162582237876,Hispanic
f,1,19,1985,1.1219162582237876,Hispanic
f,1,19,1986,1.1219162582237876,Hispanic
f,1,19,1987,1.1219162582237876,Hispanic
f,1,19,1988,1.1219162582237876,Hispanic
f,1,19,1989,1.1219162582237876,Hispanic
f,1,19,1990,1.1219162582237876,Hispanic
f,1,19,1991,1.1219162582237876,Hispanic
f,1,19,1992,1.1219162582237876,Hispanic
f,1,19,1993,1.1219162582237876,Hispanic
f,1,19,1994,1.1219162582237876,Hispanic
f,1,19,1995,1.1219162582237876,Hispanic
f,1,19,1996,1.1219162582237876,Hispanic
f,1,19,1997,1.1219162582237876,Hispanic
f,1,19,1998,1.1219162582237876,Hispanic
f,1,19,1999,1.1219162582237876,Hispanic
f,1,19,2000,1.3240842154729544,Hispanic
f,1,19,2001,1.3240842154729544,Hispanic
f,1,19,2002,1.3240842154729544,Hispanic
f,1,19,2003,1.3240842154729544,Hispanic
