test,F,df1,df2,pvalue
mfull_joint_nk_meanage,148.7575062684642,2.0,1936.0,1.1102230246251565e-16
mfull_nk_only,71.65865137438313,1.0,1936.0,1.1102230246251565e-16
mfull_meanage_only,22.97922847509066,1.0,1936.0,1.7624358000789542e-06
mcounts_nk,260.48443815482483,1.0,1936.0,1.1102230246251565e-16
mfact_joint_nkf,45.669865126605195,3.0,1936.0,1.1102230246251565e-16
mfact_meanage,2.861433177177979,1.0,1936.0,0.09088756626545424
mint_interaction,33.05539818798394,1.0,1936.0,1.0384439752542107e-08
mint_joint_all_kid_terms,112.38417698168819,3.0,1936.0,1.1102230246251565e-16
