term,b,se,z,pvalue,ll,ul,or,or_low,or_high,model,sample
const,-2.1344405489446454,0.012174074453435857,-175.3267204918603,0.0,-2.1583012964184887,-2.110579801470802,0.118310760945383,0.11552119071919477,0.12116769285645682,mfull,all
sex_male,0.4294884829865717,0.010605741933644521,40.49584514442204,0.0,0.40870161076730227,0.45027535520584117,1.53647139124813,1.5048626186832164,1.5687440878753838,mfull,all
age_c,0.08328710799797324,0.00063840217002758,130.46181844020848,0.0,0.08203586273706698,0.08453835325887951,1.086853808178256,1.085494737943885,1.088214580007151,mfull,all
age_c_sq,0.0007646659826329211,2.237669863376157e-05,34.172421729772346,0.0,0.0007208084592178418,0.0008085235060480004,1.0007649584141982,1.0007210683040644,1.0008088504492858,mfull,all
race_1,-0.27453848151916255,0.02655967975490503,-10.33666384732899,0.0,-0.32659449727969403,-0.22248246575863107,0.7599227607039802,0.7213762037387724,0.8005290432966363,mfull,all
race_3,0.30461133459829226,0.02335510549041175,13.042601529817452,0.0,0.25883616898195155,0.35038650021463297,1.3560978322576156,1.295421557209632,1.4196161245108931,mfull,all
race_4,-0.5335198509001944,0.04733463409411663,-11.271236402490903,0.0,-0.6262940289460447,-0.4407456728543441,0.5865368098882859,0.5345692326940931,0.643556359613378,mfull,all
race_5,0.19738602163215133,0.02280447914222373,8.655581230385588,0.0,0.15269006382719796,0.2420819794371047,1.218214206989384,1.1649638585437216,1.2738986220275745,mfull,all
yeardec_2,0.4133406193317362,0.015385257629980437,26.866018709123285,0.0,0.38318606848410447,0.44349517017936796,1.5118599069509862,1.46695095801698,1.5581436896402279,mfull,all
yeardec_3,-0.3702220329296558,0.01369611435656254,-27.03117273201378,0.0,-0.39706592379666034,-0.3433781420626512,0.6905809818951747,0.6722897042819955,0.7093699182328462,mfull,all
yeardec_4,-2.1775591353467476,0.021310492541986564,-102.18248738533171,0.0,-2.2193269332218506,-2.1357913374716446,0.1133177867316468,0.10868223461442161,0.11815105601495482,mfull,all
nk_under18,-0.1170304747804852,0.013059432370592705,-8.961375307859093,0.0,-0.14262649188538346,-0.09143445767558696,0.8895580836630069,0.8670778690408248,0.9126211295019728,mfull,all
minors_mean_age_ctr,-0.006745310025822485,0.00222415460149373,-3.032752319147406,0.002423344104011127,-0.011104572940799232,-0.0023860471108457376,0.9932773885129477,0.9889568552411353,0.9976167972368629,mfull,all
