sex,raceth5,age_band,yeardec,n_alive_w,n_dead_w,n_alive_unw,n_dead_unw,mean_nk_alive,mean_nk_dead,kappa,kappa_smooth,kappa_pool
m,1,50-59,4,21072088.0,1024066.0,2572,144,0.46427273842060646,0.2827054115652702,0.6089209815053885,0.6089209815053885,0.6667754971089875
m,1,60-69,2,819859.0,986998.0,201,267,0.10330190923073358,0.09841256010650477,0.9526693246945898,0.9526693246945898,0.9741805559043182
m,1,60-69,3,6110413.0,2216676.0,1018,483,0.20680926150163664,0.11202809973130941,0.5416976924431541,0.5416976924431541,0.7665901969231108
m,1,60-69,4,12320978.0,880089.0,1726,165,0.17766024742516381,0.10008987727377572,0.5633780135082654,0.5633780135082654,0.6667754971089875
m,1,70-100,2,298608.0,1156407.0,67,337,0.06366205861865723,0.07339976323214924,1.1529593108482705,1.1529593108482705,0.9741805559043182
m,1,70-100,3,2475910.0,3435143.0,467,796,0.1336159230343591,0.10166738327924049,0.7608927212447345,0.7608927212447345,0.7665901969231108
m,1,70-100,4,6762402.0,1696550.0,1082,350,0.10609898672099057,0.06306681205976836,0.5944148385282482,0.5944148385282482,0.6667754971089875
m,2,18-29,2,14324227.0,472550.0,1497,44,0.4661452935645323,0.38931118400169296,0.8351713282884351,0.8351713282884351,0.6950888076883304
m,2,18-29,3,145101410.0,3518954.0,13004,307,0.4297325367134613,0.3851908834272912,0.8963502888870857,0.8963502888870857,0.9711169784923618
m,2,18-29,4,133625178.0,951665.0,13106,92,0.36635098813488576,0.4495689134306715,1.2271535439810142,1.2271535439810142,0.8741575848534295
m,2,30-39,2,14186886.0,949923.0,1642,122,1.2097429273767337,0.7873722396446869,0.6508591386039874,0.6508591386039874,0.6950888076883304
m,2,30-39,3,124615514.0,4939894.0,13160,552,1.156364953082808,0.8245361135279421,0.7130414246209835,0.7130414246209835,0.9711169784923618
m,2,30-39,4,104410613.0,908640.0,12053,108,1.0619556845241394,0.762925911251981,0.7184159587542929,0.7184159587542929,0.8741575848534295
m,2,40-49,2,13098190.0,2062446.0,1499,275,1.0369052517943318,0.5841011110109064,0.563311941954328,0.563311941954328,0.6950888076883304
m,2,40-49,3,142586355.0,12852434.0,14192,1485,0.9912875323869524,0.621213849454508,0.6266737239786196,0.6266737239786196,0.9711169784923618
m,2,40-49,4,113692011.0,2908345.0,12262,332,1.036560853866856,0.4998244706181694,0.482195009346138,0.482195009346138,0.8741575848534295
m,2,50-59,2,8012525.0,3207522.0,964,418,0.24245116239886927,0.1357159826183577,0.5597662691139593,0.5597662691139593,0.6950888076883304
m,2,50-59,3,109696791.0,22280017.0,11374,2652,0.27501327727991604,0.14924723800704462,0.5426910274413286,0.5426910274413286,0.9711169784923618
m,2,50-59,4,124187579.0,6260479.0,14340,830,0.2752418339679526,0.16896933924704483,0.6138941047265313,0.6138941047265313,0.8741575848534295
m,2,60-69,2,2950199.0,4440617.0,375,598,0.036098242864294916,0.051729297978186366,1.433014293040625,1.433014293040625,0.6950888076883304
m,2,60-69,3,58791014.0,30701829.0,6353,3832,0.05604533373076368,0.028868898983184357,0.5150990646584019,0.5150990646584019,0.9711169784923618
m,2,60-69,4,102142968.0,10062301.0,13304,1443,0.0435481177715533,0.0425675002168987,0.9774819761488025,0.9774819761488025,0.8741575848534295
m,2,70-100,2,645015.0,7562239.0,94,1145,0.015743819911164858,0.005540422618221932,0.3519109497875351,0.3519109497875351,0.6950888076883304
m,2,70-100,3,20632877.0,64472635.0,2411,8418,0.009282273141065106,0.013262913792805272,1.4288433006921193,1.4288433006921193,0.9711169784923618
m,2,70-100,4,66724675.0,26639716.0,9637,4064,0.01490270278573856,0.013886146533994581,0.9317871216812569,0.9317871216812569,0.8741575848534295
m,3,18-29,2,2638436.0,154206.0,286,15,0.5617805396833578,0.7186101708104743,1.2791652968533085,1.0,
m,3,18-29,3,27961872.0,1006956.0,2864,94,0.5843196049248777,0.9284715518850873,1.5889789492934354,1.5889789492934354,0.7571068851827826
m,3,18-29,4,30342174.0,306121.0,2750,29,0.4923964248573619,0.2152972190735036,0.4372436683224725,0.4372436683224725,0.8494047066428613
m,3,30-39,2,1926197.0,244062.0,247,30,0.9523947965862266,0.711114388966738,0.7466592546658838,0.7466592546658838,
m,3,30-39,3,22278943.0,1190561.0,2807,162,1.0313130654358242,0.9162772844062589,0.8884569730715549,0.8884569730715549,0.7571068851827826
m,3,30-39,4,21554734.0,371183.0,2429,50,0.912974569762726,0.8715970289587616,0.9546783205421395,0.9546783205421395,0.8494047066428613
m,3,40-49,2,1688293.0,595806.0,257,88,0.8248497150672306,0.7087189454285455,0.8592097838947309,0.8592097838947309,
