cause,year,deaths,children_naive,children_nhis_stratified,delta_pct
drug,1999,16450,14307.26031166614,8616.103052738526,-39.778106604288475
drug,2000,17006,14314.351936164221,9833.586816342335,-31.302605523492428
drug,2001,19002,15765.746293335484,10870.793880059906,-31.04802222616495
drug,2002,23054,18837.21548645649,13033.626859729266,-30.80916407682371
drug,2003,25324,20301.924524567145,14091.109187069027,-30.592249173138615
drug,2004,26961,21041.4816683238,14640.82516846065,-30.419229029383448
drug,2005,29311,22439.855592580894,15692.809872794276,-30.067242152918926
drug,2006,33854,25359.8813911432,17795.05343882248,-29.82990273354628
drug,2007,35442,25818.15390726737,18204.282338786063,-29.490379505167226
drug,2008,35902,25796.455783894067,18195.430316465136,-29.465386761287597
drug,2009,36429,25802.502698470973,18244.532454672943,-29.291616910656913
drug,2010,37744,25785.156032954026,16214.29874436211,-37.11770165889297
drug,2011,40760,27748.520138194104,17466.341684824278,-37.05487140273492
drug,2012,40942,27562.68083651124,17435.692144057546,-36.74166802758481
drug,2013,43401,28578.508310615,18296.802476745834,-35.97705563257199
drug,2014,46480,30660.028882043203,19627.347347219013,-35.98392414198198
drug,2015,51772,34556.21968715452,22247.538463779383,-35.61929324100982
drug,2016,63037,42575.35198815812,27552.240594533112,-35.285935857449935
drug,2017,69625,47361.00146578649,30616.366680748204,-35.355322452660936
drug,2018,66773,45210.81409068226,29319.225848638205,-35.14997144304738
drug,2019,69997,47383.773384010456,30883.40184717297,-34.822831442979805
drug,2020,91035,63005.98927726596,40988.933721355956,-34.94438514253164
firearm,1999,27095,18205.255831382885,11531.43600756684,-36.658753305248645
firearm,2000,26880,17840.16249852782,16003.025999535615,-10.297756531891496
firearm,2001,27788,18312.639105244347,16500.915681112303,-9.893295082810894
firearm,2002,28410,18697.626711187113,16802.17142293508,-10.137411113881898
firearm,2003,28381,18633.859929812108,16899.703724125517,-9.306478701775225
firearm,2004,27864,18150.732944254494,16384.928216028948,-9.728558806130755
firearm,2005,28851,18824.932662512656,17138.102304955653,-8.960618281074122
firearm,2006,29129,18824.055272213194,17385.508399226583,-7.642066771393822
firearm,2007,29451,18962.800144302306,17354.579360334174,-8.480924608865582
firearm,2008,29742,18733.576575564977,16947.434840447593,-9.534440622764619
firearm,2009,29504,18331.07507006273,16336.654643162592,-10.879997050240172
firearm,2010,29801,17158.867779067947,8560.006646742895,-50.113219840849744
firearm,2011,30318,17259.137327036253,8638.931535717113,-49.94575121559338
firearm,2012,31479,17766.071259072844,8900.591236096836,-49.901184644008175
firearm,2013,31466,17684.345678104015,8867.87145522707,-49.854681554846096
firearm,2014,31317,17347.527435277018,8709.115760504337,-49.79621278595624
firearm,2015,33998,19072.593632537115,9499.648275969439,-50.192152892287275
firearm,2016,36336,20683.083953542704,10255.82054651134,-50.41445187986741
firearm,2017,37311,21049.57020553335,10484.460119508456,-50.191571527895704
firearm,2018,37295,20864.305088542354,10495.746113886687,-49.695203989082614
firearm,2019,37154,21046.34640806994,10421.889316453067,-50.48124213874512
firearm,2020,42307,24861.034216257034,11943.572497036466,-51.95866594630094
