cause,deaths,children_naive,children_nhis_stratified,delta_pct_vs_naive,children_nhis_allcause_kappa,delta_pct_vs_allcause_kappa
drug,920301,650212.8736872452,429866.34293937724,-33.888367896858256,473274.0111391546,-9.171783613322983
firearm,691877,418309.5997281052,286062.1141030846,-31.614738392563645,336065.989627201,-14.879183573317205
drug+firearm combined,1612178,1068522.4734153503,715928.4570424618,-32.99827800962217,,
