cause,deaths_narrow,naive_narrow,children_narrow,children_broad,deaths_broad,naive_broad,delta_pct_narrow,delta_pct_broad,children_prior_allcause_kappa,children_prior_intent_stratified
drug,803538,578043.0026419614,386550.1685221993,416502.13290631364,920301,656562.0186722131,-33.12778344250148,-36.56316980555476,473274.0111391546,429866.3429393773
firearm,682963,413039.69650326465,274891.8695185892,274891.8695185892,682963,413039.69650326465,-33.446622238543966,-33.446622238543966,336065.989627201,286062.1141030846
drug+firearm combined,1486501,991082.699145226,661442.0380407886,691394.0024249029,1603264,1069601.7151754778,-33.26066143508921,-35.35967710079135,809340.0007663555,715928.4570424618
