sex,raceth5,age_band,yeardec,intent,K_smooth,n_rows
f,1,18-29,2,accident,0.9057721956905953,12
f,1,18-29,2,alive,1.1461096856477693,2427
f,1,18-29,2,other,0.43183230136205103,14
f,1,18-29,3,accident,0.8854757271628692,18
f,1,18-29,3,alive,1.1156550458256413,7047
f,1,18-29,3,other,1.2614972661223878,32
f,1,18-29,4,accident,0.16444147418376234,3
f,1,18-29,4,alive,0.9392432425024514,5722
f,1,18-29,4,other,0.3249972325425324,8
f,1,30-39,2,accident,0.9057721956905953,8
f,1,30-39,2,alive,1.914142497762045,2198
f,1,30-39,2,other,1.5668430898389378,37
f,1,30-39,3,accident,0.8854757271628692,10
f,1,30-39,3,alive,1.8834949412627904,6577
f,1,30-39,3,other,1.6280429575990318,43
f,1,30-39,4,accident,0.16444147418376234,4
f,1,30-39,4,alive,1.7863744705845317,5932
f,1,30-39,4,other,0.3249972325425324,15
f,1,40-49,2,accident,0.9057721956905953,3
f,1,40-49,2,alive,1.2252230787104033,1348
f,1,40-49,2,other,1.0648399845441543,47
f,1,40-49,3,accident,0.8854757271628692,13
f,1,40-49,3,alive,1.1102632508493928,4695
f,1,40-49,3,other,0.7218773854777896,70
f,1,40-49,4,accident,0.16444147418376234,6
f,1,40-49,4,alive,1.123397814399325,4519
f,1,40-49,4,other,0.3249972325425324,18
f,1,50-59,2,accident,0.9057721956905953,4
f,1,50-59,2,alive,0.3023610067576121,733
f,1,50-59,2,other,0.06595718511901294,46
f,1,50-59,3,accident,0.8854757271628692,4
f,1,50-59,3,alive,0.2985222255201567,2855
f,1,50-59,3,other,0.3769192881231561,84
f,1,50-59,4,accident,0.16444147418376234,3
f,1,50-59,4,alive,0.2977965376565194,3215
f,1,50-59,4,other,0.3249972325425324,24
f,1,60-69,2,accident,0.9057721956905953,6
f,1,60-69,2,alive,0.15659440465014596,336
f,1,60-69,2,other,0.030486744353616417,79
f,1,60-69,3,accident,0.8854757271628692,15
f,1,60-69,3,alive,0.186181367618899,1591
f,1,60-69,3,other,0.05890046384305376,115
f,1,60-69,4,accident,0.16444147418376234,5
f,1,60-69,4,alive,0.16115702190878375,2455
f,1,60-69,4,other,0.08635737873075573,44
f,1,70-100,2,accident,0.9057721956905953,13
f,1,70-100,2,alive,0.26749322577883294,130
f,1,70-100,2,other,0.07093835695288586,122
f,1,70-100,3,accident,0.8854757271628692,18
f,1,70-100,3,alive,0.15994076502428883,881
f,1,70-100,3,other,0.15833585656556867,293
f,1,70-100,4,accident,0.16444147418376234,13
f,1,70-100,4,alive,0.14316594456628232,1862
f,1,70-100,4,other,0.17600212604190132,119
f,2,18-29,2,accident,0.395424335926608,11
f,2,18-29,2,alive,0.6832315008319574,1671
f,2,18-29,2,other,0.11284156660126791,14
f,2,18-29,3,accident,0.7701375945717677,54
f,2,18-29,3,alive,0.6538859336840119,14897
f,2,18-29,3,other,0.4728788870435225,66
f,2,18-29,4,accident,0.2885039858229862,23
f,2,18-29,4,alive,0.5705359700213642,14002
f,2,18-29,4,other,0.09046213111723629,20
f,2,30-39,2,accident,0.395424335926608,11
f,2,30-39,2,alive,1.492218317866017,1984
f,2,30-39,2,other,1.0777571907079486,26
f,2,30-39,3,accident,1.2609800937328883,67
f,2,30-39,3,alive,1.4845118329582891,15478
f,2,30-39,3,other,1.1156695911749086,144
f,2,30-39,4,accident,0.5973261104832972,29
f,2,30-39,4,alive,1.4131925448816822,13514
f,2,30-39,4,other,1.0605067496399847,41
f,2,40-49,2,accident,0.395424335926608,13
f,2,40-49,2,alive,0.8914917055469155,1793
f,2,40-49,2,other,0.39397552983150097,42
f,2,40-49,3,accident,0.511338109460029,69
f,2,40-49,3,alive,0.9381778690537753,16625
f,2,40-49,3,other,0.4655706924911541,330
f,2,40-49,4,accident,0.2885039858229862,22
f,2,40-49,4,alive,1.0078824639207675,13465
f,2,40-49,4,other,0.3874377881429363,77
f,2,50-59,2,accident,0.395424335926608,9
f,2,50-59,2,alive,0.11067610380713781,1336
f,2,50-59,2,other,0.02696483467498228,81
f,2,50-59,3,accident,0.06220339522884352,55
f,2,50-59,3,alive,0.1578454128805882,14136
f,2,50-59,3,other,0.14855775953874123,498
f,2,50-59,4,accident,0.3878119793856166,35
f,2,50-59,4,alive,0.19491409146245767,16296
f,2,50-59,4,other,0.13015506527332418,157
f,2,60-69,2,accident,0.395424335926608,16
f,2,60-69,2,alive,0.02678840495854741,687
f,2,60-69,2,other,0.12959986745091542,142
f,2,60-69,3,accident,0.04868042317870105,82
f,2,60-69,3,alive,0.017373057735934932,8817
f,2,60-69,3,other,0.03013964711331663,800
f,2,60-69,4,accident,0.2885039858229862,24
f,2,60-69,4,alive,0.02520961363355204,16175
f,2,60-69,4,other,0.034853039521746836,264
f,2,70-100,2,accident,0.0,40
f,2,70-100,2,alive,0.017291753663548147,259
f,2,70-100,2,other,0.013589822961879163,491
f,2,70-100,3,accident,0.009033045504877988,290
f,2,70-100,3,alive,0.021186822073295843,5305
f,2,70-100,3,other,0.020565776688310763,3612
f,2,70-100,4,accident,0.0,150
f,2,70-100,4,alive,0.011037646587088569,15493
f,2,70-100,4,other,0.02576671086410226,1461
f,3,18-29,2,accident,1.1020366226768346,3
f,3,18-29,2,alive,1.082131000892064,570
f,3,18-29,2,other,0.24886639963363585,7
f,3,18-29,3,accident,0.5814525340697506,10
f,3,18-29,3,alive,0.9542936231419823,5197
f,3,18-29,3,other,0.9440154598232929,50
