cause,deaths,children_nhis,children_naive,delta_pct
drug,920301,473274.0111391546,650191.7359976791,-27.210085127743916
firearm,691877,336065.989627201,418212.7887901314,-19.64234508480168
drug+firearm combined,1612178,809340.0007663555,1068404.5247878104,-24.247793603542267
