author_id,first_year,last_year,n_years_active,n_papers_total
Boerwinkle E,1993,2026,33,680
Coresh J,1999,2026,27,641
Folsom AR,1991,2025,35,618
Mosley TH,1997,2025,28,429
Selvin E,2005,2025,21,397
Psaty BM,2003,2025,19,378
Heiss G,1989,2024,35,363
Ballantyne CM,1997,2025,26,342
Rotter JI,2009,2026,18,323
Pankow JS,1997,2026,30,320
