focal_year,race_eth,prevalent,incident,N_children_under18,prevalence_rate_per_100k
2000,Non-Hispanic Black,577304.6511647378,,11209172.0,5150.288095898054
2001,Non-Hispanic Black,567362.6624634545,59875.83924452615,11258976.0,5039.203054198309
2002,Non-Hispanic Black,559683.2393355813,60665.99674160301,11299841.0,4953.018713587043
2003,Non-Hispanic Black,551929.6349779541,61352.50148383685,11315538.0,4877.62610118895
2004,Non-Hispanic Black,545203.0860516332,61706.238781940694,11330590.0,4811.780199015526
2005,Non-Hispanic Black,537738.5055540642,60203.16515352148,11346440.0,4739.270692429204
2006,Non-Hispanic Black,530784.8414940203,61249.56682319235,11357398.0,4673.4722292378965
2007,Non-Hispanic Black,522655.33944337175,61330.404559891605,11373749.0,4595.27759442706
2008,Non-Hispanic Black,510109.3197503019,59448.53730708546,11351899.0,4493.603402834204
2009,Non-Hispanic Black,498166.84676171746,56899.31375303382,11332977.0,4395.728031228842
2010,Non-Hispanic Black,488356.52881848527,56207.31127747889,11299028.0,4322.1109711249965
2011,Non-Hispanic Black,474808.77383754577,52920.17583136991,11225722.0,4229.650207243202
2012,Non-Hispanic Black,464511.8752243258,52287.15820957353,11165089.0,4160.395633427784
2013,Non-Hispanic Black,458259.5517640114,51898.390285036454,11136780.0,4114.829885873757
2014,Non-Hispanic Black,456914.58169527235,52484.42670384578,11145212.0,4099.649084245973
2015,Non-Hispanic Black,456658.5904648849,52430.322308057686,11156747.0,4093.1159455788043
2016,Non-Hispanic Black,459675.55465410766,54896.1931872857,11161647.0,4118.348794350042
2017,Non-Hispanic Black,466984.10283148143,58390.48728533521,11163634.0,4183.083240022751
2018,Non-Hispanic Black,459685.0658140048,58520.213474556556,11144557.0,4124.749559933201
2019,Non-Hispanic Black,453916.874704764,58202.850596694436,11130169.0,4078.256805487536
2020,Non-Hispanic Black,450254.92600444827,58521.42131911888,11123707.0,4047.705733389492
2021,Non-Hispanic Black,429031.61016192526,69703.18578998139,10069442.0,4260.728749040168
