focal_year,race_eth,prevalent,incident,N_children_under18,prevalence_rate_per_100k
2000,Non-Hispanic Asian or Pacific Islander,46981.77713008936,,2890679.0,1625.2851710649768
2001,Non-Hispanic Asian or Pacific Islander,47236.33733548232,5792.5163917639775,2980738.0,1584.719533735683
2002,Non-Hispanic Asian or Pacific Islander,47749.78121085036,6093.072209796267,3066486.0,1557.1498193975237
2003,Non-Hispanic Asian or Pacific Islander,47940.62517702554,5871.076706809989,3154442.0,1519.7814756786
2004,Non-Hispanic Asian or Pacific Islander,48172.35378731527,5976.342631065538,3240904.0,1486.386322683895
2005,Non-Hispanic Asian or Pacific Islander,48441.756576429245,5888.600481345471,3334464.0,1452.7599211276308
2006,Non-Hispanic Asian or Pacific Islander,48825.50748527615,6168.269577797857,3424969.0,1425.5751653599245
2007,Non-Hispanic Asian or Pacific Islander,49068.27770385299,6224.377278529041,3516670.0,1395.3051524269547
2008,Non-Hispanic Asian or Pacific Islander,49192.14612910978,6187.360292190747,3613046.0,1361.5145262227434
2009,Non-Hispanic Asian or Pacific Islander,49251.070393150534,6126.326135275865,3699906.0,1331.1438288743154
2010,Non-Hispanic Asian or Pacific Islander,49377.62804915464,6339.3689637114285,3781041.0,1305.9268082296553
2011,Non-Hispanic Asian or Pacific Islander,49088.16649474532,6187.38475697707,3861433.0,1271.2422174551602
2012,Non-Hispanic Asian or Pacific Islander,48922.9425909825,6381.999352847914,3946488.0,1239.657705559538
2013,Non-Hispanic Asian or Pacific Islander,48950.17776875323,6498.001161726928,4043910.0,1210.4665476915468
2014,Non-Hispanic Asian or Pacific Islander,49038.68382455474,6598.606272373224,4141736.0,1184.0127865357604
2015,Non-Hispanic Asian or Pacific Islander,48979.59818168183,6473.801282477886,4249496.0,1152.5978182278989
2016,Non-Hispanic Asian or Pacific Islander,48985.109235554504,6595.686208652351,4350846.0,1125.8755018117051
2017,Non-Hispanic Asian or Pacific Islander,49134.68418925224,6843.043084045077,4449302.0,1104.3234239719454
2018,Non-Hispanic Asian or Pacific Islander,49615.246551791824,6914.656585082418,4507580.0,1100.7069547693402
2019,Non-Hispanic Asian or Pacific Islander,49864.71118408563,6910.418353526796,4549177.0,1096.125984636026
2020,Non-Hispanic Asian or Pacific Islander,50225.698133672515,7008.588361044956,4583907.0,1095.6962724957664
2021,Non-Hispanic Asian or Pacific Islander,0.0,0.0,0.0,
