race_eth,focal_year,B,baseline,calibrated_point,med,lo,hi,delta_point_pct,delta_lo_pct,delta_hi_pct
All,2000,200,2236830.744321503,2724099.900214475,2806654.22926473,1923800.286335008,4466051.824175717,21.78390819823853,-13.994373905185508,99.65980150770875
All,2001,200,2217901.639355078,2693661.427087866,2775492.846307235,1907280.917096322,4407027.7701650215,21.450896617359888,-14.005162210398037,98.70257958989103
All,2002,200,2210184.166623946,2674306.2175665083,2757450.589079248,1901264.6198081558,4359768.425639665,20.999247843292103,-13.977095279243825,97.25815122000475
All,2003,200,2197643.182131807,2646683.648707314,2728487.8179718377,1891746.0675554613,4293624.469618459,20.43281958720518,-13.919325806094344,95.37404909624418
All,2004,200,2187851.776191084,2619932.079628618,2698841.47731492,1885327.475913623,4223146.383762859,19.749066556499507,-13.82745867748579,93.02707933510459
All,2005,200,2175753.668737577,2588000.2643768205,2662305.807179437,1877640.9365937442,4138539.450145471,18.94730095426836,-13.701584716472274,90.2117647604266
All,2006,200,2167140.9403951527,2557482.544523108,2626360.3550943662,1873877.203279508,4049361.845854049,18.011823636019766,-13.532287247647652,86.85272242218338
All,2007,200,2155712.058576707,2520708.1110412953,2582023.7864447962,1874820.615870395,3942525.425603012,16.931577249030862,-13.030100267276342,82.88738562821028
All,2008,200,2130766.163817863,2465046.6564561166,2523600.8882532697,1866157.7405622646,3798555.7388436673,15.688276748270523,-12.418463731443833,78.27182556895372
All,2009,200,2109017.5019761375,2410721.184430078,2475264.3803088325,1848259.2961690675,3649023.108936621,14.305413879744762,-12.363965949203411,73.02004869649052
All,2010,200,2090191.3410189548,2356429.4874154855,2422163.6622737413,1832604.362174387,3488590.656358929,12.737501164211187,-12.32360759465187,66.90293313808598
All,2011,200,2059636.721685023,2287736.196534246,2353036.523822534,1814728.9804304384,3308122.424559535,11.074743057727733,-11.890822234623082,60.61679177350776
All,2012,200,2036540.9351528895,2224712.89269557,2289999.715499399,1800392.0426526384,3118159.4955787123,9.239782726417614,-11.595587813830154,53.11057301898144
All,2013,200,2019511.7789599155,2165912.263318396,2231413.653711862,1782072.1010918722,2929957.583848585,7.249300840120849,-11.757281157841474,45.082470643353474
All,2014,200,2012741.6631072923,2115106.5244170935,2170203.496537079,1793809.4937988515,2736990.832128234,5.08584202265527,-10.877310949605471,35.98321544667776
All,2015,200,2013152.9362493316,2067517.8242618032,2108085.32031507,1799853.173489542,2553242.6922450904,2.700484748752265,-10.595308429829702,26.828053958085775
All,2016,200,2023596.2292572171,2025181.2669725558,2042890.9557157387,1781296.3534375632,2488448.095195523,0.07832776580733407,-11.97372639444939,22.971572056592276
All,2017,200,2048032.4295501641,1990973.7017610534,1955414.8091546204,1706061.6323362817,2472115.5366541147,-2.7860265768175987,-16.697528431666186,20.706855076367003
All,2018,200,2069226.3833242273,2009226.4696496862,1969800.2297477263,1723484.7278045458,2468309.354069585,-2.8996302269329637,-16.708739957405964,19.286578499169725
All,2019,200,2088404.4052954605,2025035.1685036381,1984519.0899442837,1740391.7541247455,2471935.469893895,-3.0343374411172577,-16.66404506178387,18.36478910051781
All,2020,200,2113664.046860385,2046371.0568293475,2002265.143544136,1756242.123850445,2474475.2846449343,-3.1837126685763533,-16.910063050977804,17.070415628278035
All,2021,200,2240911.5928642373,2166267.9529139125,2101163.4859021716,1854793.1935359954,2596116.4662939915,-3.330949787935118,-17.23041643221283,15.850909717314936
Non-Hispanic White,2000,200,1248302.2016289474,966603.6681656598,971248.9385693003,788650.5636878037,1167512.491141802,-22.566533416002205,-36.822144296575814,-6.471967315424143
Non-Hispanic White,2001,200,1235627.1793738308,956306.355053541,960388.3236216402,782967.891738656,1151812.2525739039,-22.605590827310795,-36.63396979213143,-6.783188990905909
Non-Hispanic White,2002,200,1229860.773701266,951711.8283084914,955806.2055092864,782733.4674774541,1141936.1724025812,-22.616295384044594,-36.3559287185152,-7.14915079648208
Non-Hispanic White,2003,200,1221480.4303171944,945035.8027010745,948557.5946237186,781774.7323545187,1128435.6646047162,-22.6319325921851,-35.997768531460856,-7.6173767015093565
Non-Hispanic White,2004,200,1214253.1503758891,939235.5090823787,941822.8074797601,782433.4611553531,1114926.72727059,-22.649119025005195,-35.562575158801124,-8.180042446219007
Non-Hispanic White,2005,200,1206040.7122726524,932732.4497177167,935555.3957153934,783428.9058475662,1099501.4582056296,-22.661611649901612,-35.04125541738308,-8.833802456490975
Non-Hispanic White,2006,200,1199493.7301583022,927590.6241816307,931204.9121691361,786614.8497943927,1083194.4009378268,-22.66815566770719,-34.421095332396625,-9.695701302675996
Non-Hispanic White,2007,200,1191459.0187299293,921460.0595782691,925546.3337637625,791921.8548876494,1063562.2699901748,-22.66120402860969,-33.53343737060955,-10.734464780508342
Non-Hispanic White,2008,200,1177226.2608103328,910640.3734779453,914465.0421374989,794546.3921538945,1036692.6338252461,-22.645254884892353,-32.50690894314778,-11.937690456238352
