focal_year,race_eth,prevalent,incident,N_children_under18,prevalence_rate_per_100k
2000,Hispanic,348192.8947311654,,12448116.0,2797.1533582364223
2001,Hispanic,346835.719172479,35879.703088587994,12906700.0,2687.2532806409
2002,Hispanic,347534.308888267,37444.59722422591,13378633.0,2597.6817578318132
2003,Hispanic,346792.9540264315,37407.374568495405,13839946.0,2505.7392133353087
2004,Hispanic,346804.287849874,38547.13141756776,14310776.0,2423.3786333450685
2005,Hispanic,346354.6102530314,38049.71175440453,14813372.0,2338.121328844178
2006,Hispanic,347448.1897450676,39958.794423002124,15340694.0,2264.8792143632327
2007,Hispanic,348758.34887901234,40772.81896507581,15886708.0,2195.2839372323856
2008,Hispanic,347262.79444133653,40314.96617122369,16378400.0,2120.2485861948453
2009,Hispanic,345255.88427565544,39584.90882943538,16817739.0,2052.92687843268
2010,Hispanic,342560.79749765806,39975.31981530877,17178149.0,1994.1659459215196
2011,Hispanic,334024.06769677106,37534.16342482234,17367694.0,1923.249383002551
2012,Hispanic,327094.29697730555,37796.500412542664,17521880.0,1866.7762647461664
2013,Hispanic,322082.1256280432,37960.85598851622,17676658.0,1822.0759016101529
2014,Hispanic,319882.0077313796,38984.11098578715,17856378.0,1791.4159732246908
2015,Hispanic,319363.2871788039,40018.937275963915,18054713.0,1768.863826186569
2016,Hispanic,320817.24522473855,41844.71132678054,18255321.0,1757.390325947917
2017,Hispanic,324553.21552646026,44745.513487404016,18417710.0,1762.180073019177
2018,Hispanic,331284.16793887556,46106.248377726915,18525094.0,1788.299524627921
2019,Hispanic,337776.3373981385,46877.10931991015,18588264.0,1817.1483759760376
2020,Hispanic,346595.1756329085,49332.78168740399,18631835.0,1860.231027340616
2021,Hispanic,360176.2541656621,68426.18015453574,17554386.0,2051.7735804924314
