author_id,first_year,last_year,n_years_active,n_papers_total
Hollenbeck AR,2001,2018,13,195
Park Y,2007,2024,17,141
Schatzkin A,2000,2014,11,132
Freedman ND,2007,2024,18,76
Leitzmann MF,2006,2021,14,75
Subar AF,2000,2021,20,65
Sinha R,2007,2024,16,64
Liao LM,2015,2024,9,62
Matthews CE,2010,2024,15,55
Abnet CC,2007,2024,17,44
