paper_id,bibcite_id,fetch_date,fetch_status,source
ffcws_1222,1222,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1971,1971,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_145,145,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_3731,3731,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1181,1181,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1456,1456,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_925,925,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1247,1247,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1836,1836,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_2251,2251,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1131,1131,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1089,1089,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1129,1129,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1009,1009,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_2101,2101,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_2286,2286,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_964,964,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1901,1901,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_429,429,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_779,779,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_892,892,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_167,167,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_168,168,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_624,624,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1116,1116,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1219,1219,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1225,1225,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_22,22,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1265,1265,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_3846,3846,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_3906,3906,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_2356,2356,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1801,1801,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_3841,3841,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1074,1074,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1133,1133,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1236,1236,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_3801,3801,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_806,806,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1078,1078,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1195,1195,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1210,1210,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_2426,2426,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1049,1049,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1110,1110,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1064,1064,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1185,1185,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_582,582,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_672,672,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_813,813,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1128,1128,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_2351,2351,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1876,1876,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_3681,3681,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_2141,2141,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1142,1142,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_120,120,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_155,155,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1001,1001,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1086,1086,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_3781,3781,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1114,1114,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1119,1119,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1260,1260,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_146,146,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_2051,2051,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_2431,2431,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_819,819,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1146,1146,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1881,1881,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_2096,2096,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_435,435,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_153,153,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_2566,2566,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_375,375,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_699,699,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1481,1481,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1696,1696,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_794,794,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1158,1158,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1661,1661,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_188,188,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_2511,2511,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_152,152,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_196,196,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1038,1038,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1251,1251,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1279,1279,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1916,1916,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1946,1946,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_372,372,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1048,1048,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1085,1085,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1202,1202,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1331,1331,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_3401,3401,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_3676,3676,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_473,473,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_844,844,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1067,1067,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_1851,1851,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_19,19,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_2301,2301,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_3706,3706,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_846,846,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_896,896,2026-06-24T23:14:05Z,success,ffcws_scrape
ffcws_943,943,2026-06-24T23:14:05Z,success,ffcws_scrape
