author_id,first_year,last_year,n_years_active,n_papers_total
Sims M,2009,2026,18,179
Correa A,2014,2025,12,134
Taylor HA,2002,2023,19,115
Wilson JG,2005,2026,19,78
Muntner P,2015,2026,12,64
Shimbo D,2015,2026,11,60
Musani SK,2011,2024,13,59
Fox ER,2008,2026,19,58
Hall ME,2016,2026,11,54
Hickson DA,2009,2021,11,52
