Sex,Spec,Coef,SE,P-value
Total,TWFE (baseline),-0.07940596022430893,0.009275509348559679,1.1206815649519168e-17
Total,TWFE + age×year trend,-0.021740851134946948,0.010661629301462998,0.04143328368747072
Male,TWFE (baseline),-0.04487482684149538,0.008909870652325137,4.7404795274273897e-07
Male,TWFE + age×year trend,-0.019099940547278406,0.010639091349044824,0.07261220387340447
Female,TWFE (baseline),-0.11925469407431344,0.012975178788075702,3.8925466616075584e-20
Female,TWFE + age×year trend,-0.031085358369758273,0.01825786688890799,0.0886479329212451
