Bandwidth,Ages,Coef,SE,P-value,N
2,73-76,-0.02155377707917508,0.015199971145286213,0.15618657764062904,88
3,72-77,-0.032025120144217295,0.012162265415768364,0.008459593287445404,132
4,71-78,-0.04225105428217678,0.011429450288146186,0.00021843483985948268,176
5,70-79,-0.04956558070239438,0.010329902222046293,1.600480733276392e-06,220
7,68-81,-0.06752646761832867,0.011379012185620234,2.951025052864582e-09,308
10,65-84,-0.07940596022430893,0.009275509348559679,1.1206815649519168e-17,440
