Age Group,Pre-Policy Mortality (per 1000),Post-Policy Mortality (per 1000),Change (%),Avg Annual Deaths,Avg Exposure
60-64,15.1,13.9,-7.6,"29,676","1,991,754"
65-69,21.6,20.9,-3.2,"34,101","1,583,930"
70-74,31.9,29.5,-7.5,"43,425","1,358,089"
75-79,50.0,44.5,-11.0,"54,625","1,099,829"
80-84,83.2,72.6,-12.8,"56,452","691,523"
85-89,140.8,126.5,-10.2,"44,193","320,622"
