Placebo Year,Coef,SE,P-value,N
2005,-0.028605636100619523,0.013142474826067198,0.02951198555326628,320
2007,-0.033477834568690086,0.011967640770004612,0.005152162426241772,320
2009,-0.039178602692593316,0.012261611827665572,0.001397221020964232,320
2011,-0.04975018519767751,0.012624337938207912,8.120510636061538e-05,320
2013,-0.05475167324014232,0.011569065775258248,2.216702955109251e-06,320
2017 (actual),-0.07940596022430893,0.009275509348559679,1.1206815649519168e-17,440
