Specification,Sex,coef,se,pval,n,r2
Basic DiD,Total,-0.07940596022431035,0.00886208801306142,3.241300997922876e-19,440.0,
Basic DiD,Male,-0.04487482684149624,0.008512746301975167,1.353232750045736e-07,440.0,
Basic DiD,Female,-0.11925469407431499,0.012396858445620686,6.599057728339643e-22,440.0,
TWFE DiD,Total,-0.07940596022430813,0.009275509348559691,1.1206815649528611e-17,440.0,0.9974906749350193
TWFE DiD,Male,-0.044874826841494575,0.008909870652325154,4.74047952742986e-07,440.0,0.997553447162528
TWFE DiD,Female,-0.11925469407431255,0.01297517878807575,3.892546661611279e-20,440.0,0.9963838124513177
