Cause,Pre Treated (per 100k),Post Treated (per 100k),Change Treated (%),Pre Control (per 100k),Post Control (per 100k),Change Control (%),DiD (pp)
All causes,101879,88006,-13.6,26711,23566,-11.8,-1.8
Circulatory system,35273,29465,-16.5,7462,5752,-22.9,6.4
Respiratory system,13731,8708,-36.6,2814,1753,-37.7,1.1
Endocrine/metabolic,1839,2428,32.1,594,656,10.5,21.6
Neoplasms,16317,17837,9.3,9842,9933,0.9,8.4
Digestive system,18918,13694,-27.6,1562,1131,-27.6,-0.0
