dataset,metric,value,top_x,year,computed_date
ALSPAC,hhi,0.3020789495833669,NA,2011,2026-06-24
ALSPAC,top_x_share,0.22018348623853212,1,2011,2026-06-24
ALSPAC,top_x_share,0.44036697247706424,3,2011,2026-06-24
ALSPAC,top_x_share,0.5412844036697247,5,2011,2026-06-24
ALSPAC,top_x_share,0.7064220183486238,10,2011,2026-06-24
ALSPAC,top_x_share,0.7431192660550459,20,2011,2026-06-24
ALSPAC,hhi,0.38256298353500806,NA,2012,2026-06-24
ALSPAC,top_x_share,0.22535211267605634,1,2012,2026-06-24
ALSPAC,top_x_share,0.4154929577464789,3,2012,2026-06-24
ALSPAC,top_x_share,0.5915492957746479,5,2012,2026-06-24
ALSPAC,top_x_share,0.647887323943662,10,2012,2026-06-24
ALSPAC,top_x_share,0.7887323943661971,20,2012,2026-06-24
ALSPAC,hhi,0.3358131487889255,NA,2013,2026-06-24
ALSPAC,top_x_share,0.18823529411764706,1,2013,2026-06-24
ALSPAC,top_x_share,0.3176470588235294,3,2013,2026-06-24
ALSPAC,top_x_share,0.47058823529411764,5,2013,2026-06-24
ALSPAC,top_x_share,0.6411764705882353,10,2013,2026-06-24
ALSPAC,top_x_share,0.7764705882352941,20,2013,2026-06-24
ALSPAC,hhi,0.20179930795848022,NA,2014,2026-06-24
ALSPAC,top_x_share,0.1411764705882353,1,2014,2026-06-24
ALSPAC,top_x_share,0.2823529411764706,3,2014,2026-06-24
ALSPAC,top_x_share,0.4764705882352941,5,2014,2026-06-24
ALSPAC,top_x_share,0.5470588235294118,10,2014,2026-06-24
ALSPAC,top_x_share,0.6647058823529411,20,2014,2026-06-24
ALSPAC,hhi,0.26688998456848123,NA,2015,2026-06-24
ALSPAC,top_x_share,0.11042944785276074,1,2015,2026-06-24
ALSPAC,top_x_share,0.25153374233128833,3,2015,2026-06-24
ALSPAC,top_x_share,0.3496932515337423,5,2015,2026-06-24
ALSPAC,top_x_share,0.44785276073619634,10,2015,2026-06-24
ALSPAC,top_x_share,0.7177914110429447,20,2015,2026-06-24
ALSPAC,hhi,0.24459876543209247,NA,2016,2026-06-24
ALSPAC,top_x_share,0.2037037037037037,1,2016,2026-06-24
ALSPAC,top_x_share,0.2037037037037037,3,2016,2026-06-24
ALSPAC,top_x_share,0.25462962962962965,5,2016,2026-06-24
ALSPAC,top_x_share,0.3333333333333333,10,2016,2026-06-24
ALSPAC,top_x_share,0.46296296296296297,20,2016,2026-06-24
ALSPAC,hhi,0.2226989619377139,NA,2017,2026-06-24
ALSPAC,top_x_share,0.09411764705882353,1,2017,2026-06-24
ALSPAC,top_x_share,0.25882352941176473,3,2017,2026-06-24
ALSPAC,top_x_share,0.35294117647058826,5,2017,2026-06-24
ALSPAC,top_x_share,0.5411764705882353,10,2017,2026-06-24
ALSPAC,top_x_share,0.6352941176470588,20,2017,2026-06-24
ALSPAC,hhi,0.1554278646705653,NA,2018,2026-06-24
ALSPAC,top_x_share,0.1218274111675127,1,2018,2026-06-24
ALSPAC,top_x_share,0.3096446700507614,3,2018,2026-06-24
ALSPAC,top_x_share,0.41624365482233505,5,2018,2026-06-24
ALSPAC,top_x_share,0.5228426395939086,10,2018,2026-06-24
ALSPAC,top_x_share,0.583756345177665,20,2018,2026-06-24
ALSPAC,hhi,0.16764591942149049,NA,2019,2026-06-24
ALSPAC,top_x_share,0.10795454545454546,1,2019,2026-06-24
ALSPAC,top_x_share,0.2784090909090909,3,2019,2026-06-24
ALSPAC,top_x_share,0.375,5,2019,2026-06-24
ALSPAC,top_x_share,0.5511363636363636,10,2019,2026-06-24
ALSPAC,top_x_share,0.6818181818181818,20,2019,2026-06-24
ALSPAC,hhi,0.11466471354166474,NA,2020,2026-06-24
ALSPAC,top_x_share,0.09895833333333333,1,2020,2026-06-24
ALSPAC,top_x_share,0.25,3,2020,2026-06-24
ALSPAC,top_x_share,0.3645833333333333,5,2020,2026-06-24
ALSPAC,top_x_share,0.5052083333333334,10,2020,2026-06-24
ALSPAC,top_x_share,0.625,20,2020,2026-06-24
ALSPAC,hhi,0.12586262844780804,NA,2021,2026-06-24
ALSPAC,top_x_share,0.17674418604651163,1,2021,2026-06-24
ALSPAC,top_x_share,0.3116279069767442,3,2021,2026-06-24
ALSPAC,top_x_share,0.3813953488372093,5,2021,2026-06-24
ALSPAC,top_x_share,0.4930232558139535,10,2021,2026-06-24
ALSPAC,top_x_share,0.5441860465116279,20,2021,2026-06-24
ALSPAC,hhi,0.14587578123211617,NA,2022,2026-06-24
ALSPAC,top_x_share,0.14832535885167464,1,2022,2026-06-24
ALSPAC,top_x_share,0.19617224880382775,3,2022,2026-06-24
ALSPAC,top_x_share,0.28708133971291866,5,2022,2026-06-24
ALSPAC,top_x_share,0.3923444976076555,10,2022,2026-06-24
ALSPAC,top_x_share,0.5406698564593302,20,2022,2026-06-24
ALSPAC,hhi,0.1471865269067183,NA,2023,2026-06-24
ALSPAC,top_x_share,0.07947019867549669,1,2023,2026-06-24
ALSPAC,top_x_share,0.1986754966887417,3,2023,2026-06-24
ALSPAC,top_x_share,0.33774834437086093,5,2023,2026-06-24
ALSPAC,top_x_share,0.4304635761589404,10,2023,2026-06-24
ALSPAC,top_x_share,0.5827814569536424,20,2023,2026-06-24
ALSPAC,hhi,0.1443265306122469,NA,2024,2026-06-24
ALSPAC,top_x_share,0.09142857142857143,1,2024,2026-06-24
ALSPAC,top_x_share,0.22285714285714286,3,2024,2026-06-24
ALSPAC,top_x_share,0.30857142857142855,5,2024,2026-06-24
ALSPAC,top_x_share,0.38285714285714284,10,2024,2026-06-24
ALSPAC,top_x_share,0.4857142857142857,20,2024,2026-06-24
ALSPAC,hhi,0.09194214876033042,NA,2025,2026-06-24
ALSPAC,top_x_share,0.09090909090909091,1,2025,2026-06-24
ALSPAC,top_x_share,0.36363636363636365,3,2025,2026-06-24
ALSPAC,top_x_share,0.36363636363636365,5,2025,2026-06-24
ALSPAC,top_x_share,0.36363636363636365,10,2025,2026-06-24
ALSPAC,top_x_share,1,20,2025,2026-06-24
