author_id,first_year,last_year,n_years_active,n_papers_total
Heron J,2001,2025,25,280
Golding J,1990,2024,32,276
Lawlor D,2006,2025,20,273
Northstone K,2000,2024,25,207
Timpson N,2006,2025,20,201
Emmett P,1998,2024,26,164
Tilling K,2007,2025,19,157
Ness A,2004,2023,17,151
Ring S,1998,2022,21,148
Lewis G,2005,2024,18,147
