year,parental_calibrated,gp_layer,combined,villaveces_target_2021
2000,2106002.976652818,91344.71944048704,2197347.696093305,
2001,2085574.196433253,174536.322413706,2260110.518846959,
2002,2076302.7030891872,249962.78485562047,2326265.487944808,
2003,2062693.5887320384,317259.9532882143,2379953.542020253,
2004,2051993.0588909336,375042.6830806011,2427035.7419715347,
2005,2039502.5660045613,426116.2790789409,2465618.845083502,
2006,2030814.1512273503,468789.0438097839,2499603.195037134,
2007,2020241.5411553895,503789.40151768946,2524030.9426730787,
2008,1997508.8369889664,533031.9964950779,2530540.8334840443,
2009,1979061.0512672055,554337.8345366307,2533398.8858038364,
2010,1965243.2288916388,569268.7919021734,2534512.0207938123,
2011,1941451.220664526,579536.7109451207,2520987.931609647,
2012,1926189.1620788863,584505.32087276,2510694.482951646,
2013,1917959.519346882,584314.0635655599,2502273.582912442,
2014,1920590.7348129852,577833.8588022421,2498424.5936152274,
2015,1931312.552696748,572147.0612666723,2503459.6139634205,
2016,1953078.4898918136,566074.3554635579,2519152.8453553715,
2017,1989818.0584555264,559126.57474223,2548944.6331977565,
2018,2008125.3783305425,550972.3389274328,2559097.717257975,
2019,2024000.801136671,541484.0567545397,2565484.857891211,
2020,2045412.2693446924,543700.3136181129,2589112.5829628054,
2021,2165353.524456669,546061.2203563205,2711414.7448129896,2910000.0
