author_id,first_year,last_year,n_years_active,n_papers_total
McLanahan S,1998,2022,25,123
Brooks-Gunn J,1998,2025,23,83
Reichman N,2001,2026,26,67
CRCFW,1999,2025,17,61
Garfinkel I,1998,2020,22,53
Turney K,2010,2023,14,48
Mitchell C,2011,2026,13,40
Lee S,2008,2026,15,37
Waldfogel J,2008,2026,17,36
Nepomnyaschy L,2003,2023,20,35
