author_id,first_year,last_year,n_years_active,n_papers_total
Jacobs DR,1987,2025,39,434
Lewis CE,1993,2025,33,321
Sidney S,1989,2025,36,273
Schreiner PJ,1996,2025,29,206
Liu K,1987,2024,37,199
Lloyd-Jones DM,2007,2025,18,181
Carnethon MR,2003,2025,22,129
Reis JP,2010,2025,15,126
Kiefe CI,1995,2025,31,118
Shikany JM,2009,2025,17,101
