author_id,first_year,last_year,n_years_active,n_papers_total
Dubowitz T,2014,2026,13,56
Troxel WM,2016,2026,11,29
Hunter GP,2014,2026,11,25
Beckman R,2014,2024,9,24
Collins RL,2015,2024,7,22
Richardson AS,2017,2024,8,20
Ghosh-Dastidar M,2015,2023,7,19
Ghosh-Dastidar B,2014,2025,10,18
Baird MD,2020,2024,4,11
Cantor J,2020,2024,5,10
