author_id,first_year,last_year,n_years_active,n_papers_total
Saykin AJ,2010,2025,14,145
Weiner MW,2005,2025,17,142
Wang Y,2010,2025,13,134
Thompson PM,2006,2025,16,121
Wang L,2010,2025,14,114
Zhang Y,2010,2025,12,97
Jack CR,2005,2025,18,93
Nho K,2011,2025,13,91
Li Y,2010,2025,12,90
Shen L,2010,2025,14,85
