dataset,metric,value,top_x,year,computed_date
EdShare_pre2015,n_papers,884,NA,NA,2026-06-25
EdShare_pre2015,n_authors,904,NA,NA,2026-06-25
EdShare_pre2015,hhi,0.009246841792756345,NA,NA,2026-06-25
EdShare_pre2015,top_x_share,0.02262443438914027,1,NA,2026-06-25
EdShare_pre2015,top_x_share,0.05995475113122172,3,NA,2026-06-25
EdShare_pre2015,top_x_share,0.11990950226244344,5,NA,2026-06-25
EdShare_pre2015,top_x_share,0.20475113122171945,10,NA,2026-06-25
EdShare_pre2015,top_x_share,0.28846153846153844,20,NA,2026-06-25
EdShare_pre2015,hhi,0.4700000000000001,NA,1977,2026-06-25
EdShare_pre2015,top_x_share,0.5,1,1977,2026-06-25
EdShare_pre2015,top_x_share,0.8,3,1977,2026-06-25
EdShare_pre2015,top_x_share,1,5,1977,2026-06-25
EdShare_pre2015,top_x_share,1,10,1977,2026-06-25
EdShare_pre2015,top_x_share,1,20,1977,2026-06-25
EdShare_pre2015,hhi,0.40625,NA,1978,2026-06-25
EdShare_pre2015,top_x_share,0.625,1,1978,2026-06-25
EdShare_pre2015,top_x_share,0.625,3,1978,2026-06-25
EdShare_pre2015,top_x_share,1,5,1978,2026-06-25
EdShare_pre2015,top_x_share,1,10,1978,2026-06-25
EdShare_pre2015,top_x_share,1,20,1978,2026-06-25
EdShare_pre2015,hhi,0.19753086419753085,NA,1979,2026-06-25
EdShare_pre2015,top_x_share,0.2222222222222222,1,1979,2026-06-25
EdShare_pre2015,top_x_share,1,3,1979,2026-06-25
EdShare_pre2015,top_x_share,1,5,1979,2026-06-25
EdShare_pre2015,top_x_share,1,10,1979,2026-06-25
EdShare_pre2015,top_x_share,1,20,1979,2026-06-25
EdShare_pre2015,hhi,0.14792899408284027,NA,1980,2026-06-25
EdShare_pre2015,top_x_share,0.3076923076923077,1,1980,2026-06-25
EdShare_pre2015,top_x_share,0.3076923076923077,3,1980,2026-06-25
EdShare_pre2015,top_x_share,1,5,1980,2026-06-25
EdShare_pre2015,top_x_share,1,10,1980,2026-06-25
EdShare_pre2015,top_x_share,1,20,1980,2026-06-25
EdShare_pre2015,hhi,0.13759999999999997,NA,1981,2026-06-25
EdShare_pre2015,top_x_share,0.2,1,1981,2026-06-25
EdShare_pre2015,top_x_share,0.44,3,1981,2026-06-25
