author_id,first_year,last_year,n_years_active,n_papers_total
Teachman JD,1987,1998,11,20
National Center for Education Statistics,1975,2011,11,18
Lee VE,1985,1998,9,15
Adelman C,1989,2005,9,14
Carroll CD,1983,2001,7,13
Grubb WN,1989,2002,7,13
Peng SS,1976,1995,8,13
Research Triangle Institute,1975,1981,5,12
Coleman JS,1981,1989,7,11
Eide ER,1994,2002,8,11
