author_id,first_year,last_year,n_years_active,n_papers_total
Wolff JL,2011,2025,5,73
Freedman VA,2011,2025,3,72
Ornstein KA,2011,2025,4,54
Kasper JD,2011,2025,3,49
Ehrlich JR,2021,2025,2,40
Szanton SL,2011,2025,2,32
Reed NS,2025,2025,1,31
Stephan Y,2025,2025,1,30
Sutin AR,2025,2025,1,28
Terracciano A,2025,2025,1,28
