author_id,first_year,last_year,n_years_active,n_papers_total
Almeida D M,2001,2026,26,191
Ryff C D,1998,2026,24,155
Lachman M E,1998,2026,25,96
Sutin A R,2014,2026,13,61
Terracciano A,2014,2026,13,60
Seeman T E,2010,2026,16,58
Stephan Y,2014,2026,13,57
Charles S T,2006,2026,19,48
Coe C L,2010,2026,16,47
Krueger R F,2004,2025,21,45
