author_id,first_year,last_year,n_years_active,n_papers_total
Daviglus ML,2010,2026,16,362
Gallo LC,2014,2026,13,249
Kaplan RC,2010,2026,15,212
Isasi CR,2014,2026,13,204
Sotres-Alvarez D,2014,2026,13,197
Talavera GA,2010,2026,15,178
Perreira KM,2012,2026,14,176
Cai J,2012,2026,14,164
Schneiderman N,2010,2024,13,104
Qi Q,2015,2026,12,88
