author_id,first_year,last_year,n_years_active,n_papers_total
Langa KM,2004,2026,22,193
Glymour MM,2007,2026,20,117
Crimmins EM,2001,2026,16,114
Sutin AR,2013,2026,14,110
Terracciano A,2013,2026,14,102
Stephan Y,2014,2026,13,99
Faul JD,2007,2026,14,77
Kim JK,2007,2026,14,68
Ailshire JA,2011,2026,13,64
Smith J,1999,2026,19,64
