author_id,first_year,last_year,n_years_active,n_papers_total
Matthews KA,2001,2025,23,162
Greendale GA,2000,2026,27,139
Harlow SD,2000,2026,26,129
Gold EB,2000,2026,27,112
Karvonen-Gutierrez CA,2006,2026,18,108
Kravitz HM,2003,2026,24,97
Bromberger JT,2001,2022,21,93
Crawford SL,2000,2026,26,91
Thurston RC,2008,2026,19,88
El Khoudary SR,2011,2026,16,82
