year,county,infant_deaths
1999,Dane,43
2000,Dane,27
2001,Dane,29
2002,Dane,35
2003,Dane,23
2004,Dane,22
2005,Dane,24
2006,Dane,21
2007,Dane,29
2008,Dane,41
2009,Dane,29
2010,Dane,30
2011,Dane,39
2012,Dane,24
2013,Dane,36
2014,Dane,22
2015,Dane,38
2016,Dane,40
2017,Dane,23
2018,Dane,36
2019,Dane,22
2020,Dane,29
2021,Dane,23
2022,Dane,29
2023,Dane,34
