author_id,first_year,last_year,n_years_active,n_papers_total
Giovannucci EL,1990,2026,36,576
Willett WC,1990,2026,36,438
Rimm EB,1990,2026,36,326
Hu FB,1999,2026,27,306
Stampfer MJ,1990,2026,35,253
Chan AT,1999,2026,21,214
Fuchs CS,2000,2025,25,185
Wu K,2002,2025,23,157
Song M,2013,2026,14,148
Ogino S,2007,2026,20,144
