birth_week,death_year,deaths_total,birth_year,group,study,age,week_in_year,treated,rate,log_rate,study_name
17-23 February 1956,1970,2.0,1956,2,NCDS 1958,14,3,0,0.142146410803127,-1.95089769056635,NCDS
24-1 Feb/March 1956,1970,7.0,1956,2,NCDS 1958,14,4,0,0.497512437810945,-0.698134722070984,NCDS
3-9 March 1956,1970,2.0,1956,2,NCDS 1958,14,5,0,0.142146410803127,-1.95089769056635,NCDS
10-16 March 1956,1970,4.0,1956,2,NCDS 1958,14,6,0,0.284292821606254,-1.25775051000641,NCDS
17-23 March 1956,1970,3.0,1956,2,NCDS 1958,14,7,0,0.213219616204691,-1.54543258245819,NCDS
24-30 March 1956,1970,8.0,1956,2,NCDS 1958,14,8,0,0.568585643212509,-0.564603329446462,NCDS
31-6 March/April 1956,1970,2.0,1956,2,NCDS 1958,14,9,0,0.142146410803127,-1.95089769056635,NCDS
3-9 February 1957,1970,1.0,1957,2,NCDS 1958,13,1,0,0.0699753336948726,-2.65961247481925,NCDS
10-16 February 1957,1970,4.0,1957,2,NCDS 1958,13,2,0,0.27990133477949,-1.27331811369936,NCDS
17-23 February 1957,1970,2.0,1957,2,NCDS 1958,13,3,0,0.139950667389745,-1.9664652942593,NCDS
24-2 Feb/March 1957,1970,6.0,1957,2,NCDS 1958,13,4,0,0.419852002169235,-0.867853005591194,NCDS
3-9 March 1957,1970,2.0,1957,2,NCDS 1958,13,5,0,0.139950667389745,-1.9664652942593,NCDS
10-16 March 1957,1970,8.0,1957,2,NCDS 1958,13,6,0,0.559802669558981,-0.580170933139413,NCDS
17-23 March 1957,1970,4.0,1957,2,NCDS 1958,13,7,0,0.27990133477949,-1.27331811369936,NCDS
24-30 March 1957,1970,3.0,1957,2,NCDS 1958,13,8,0,0.209926001084618,-1.56100018615114,NCDS
31-6 March/April 1957,1970,5.0,1957,2,NCDS 1958,13,9,0,0.349876668474363,-1.05017456238515,NCDS
3-9 February 1958,1970,10.0,1958,2,NCDS 1958,12,1,0,0.683456925127294,-0.380591645832141,NCDS
10-16 February 1958,1970,4.0,1958,2,NCDS 1958,12,2,0,0.273382770050918,-1.2968823777063,NCDS
17-23 February 1958,1970,3.0,1958,2,NCDS 1958,12,3,0,0.205037077538188,-1.58456445015808,NCDS
24-2 Feb/March 1958,1970,5.0,1958,2,NCDS 1958,12,4,0,0.341728462563647,-1.07373882639209,NCDS
3-9 March 1958,1970,7.0,1958,2,NCDS 1958,12,5,1,0.478419847589106,-0.737266589770873,NCDS
10-16 March 1958,1970,3.0,1958,2,NCDS 1958,12,6,0,0.205037077538188,-1.58456445015808,NCDS
