age_interval,age_lo,age_hi,mx_ctrl,beta,mx_trt,d_ctrl,d_trt,excess_deaths_per1000,l_ctrl_start,l_trt_start
Age 0–9,0,9,0.4551417839880767,0.0697046906942556,0.5248464746823323,4.541075833916941,5.2347156201763,0.6936397862593591,1000.0,1000.0
Age 10–19,10,19,0.4102563428992279,0.0382514861667071,0.448507829065935,4.07556752387929,4.451609809663198,0.3760422857839085,995.4589241660831,994.7652843798237
Age 20–29,20,29,0.6134606112380594,0.0387534223546169,0.6522140335926763,6.063129927745301,6.437947342509357,0.37481741476405617,991.3833566422038,990.3136745701605
Age 30–39,30,39,0.8813716568901858,-0.041812001296023,0.8395596555941628,8.646174770300476,8.225645749381236,-0.4205290209192398,985.3202267144585,983.8757272276512
Age 40–49,40,49,1.8006006112271586,0.0263164644438365,1.8269170756709951,17.428618162192162,17.662487186388315,0.23386902419615296,976.674051944158,975.65008147827
Age 50–59,50,59,3.93863384008593,0.1447788025403871,4.0834126426263175,37.0468071707556,38.33066103082856,1.2838538600729592,959.2454337819659,957.9875942918817
Age 60–69,60,69,7.676136179867155,0.4969025642073622,8.173038744074518,68.1404886407692,72.17432787218492,4.033839231415712,922.1986266112102,919.6569332610532
