birth_week,cause,deaths,death_year,birth_year,group,cohort,study,age,week_in_year,rate
10-16 February 1944,cancer,2.0,1970,1944,1,0,NSHD,26,1,0.13042911177774877
10-16 February 1944,cardiovascular,1.0,1970,1944,1,0,NSHD,26,1,0.06521455588887438
10-16 February 1944,external,2.0,1970,1944,1,0,NSHD,26,1,0.13042911177774877
10-16 February 1944,other,0.0,1970,1944,1,0,NSHD,26,1,0.0
10-16 February 1944,respiratory,1.0,1970,1944,1,0,NSHD,26,1,0.06521455588887438
10-16 February 1945,cancer,0.0,1970,1945,1,0,NSHD,25,1,0.0
10-16 February 1945,cardiovascular,1.0,1970,1945,1,0,NSHD,25,1,0.06521455588887438
10-16 February 1945,external,4.0,1970,1945,1,0,NSHD,25,1,0.26085822355549754
10-16 February 1945,other,3.0,1970,1945,1,0,NSHD,25,1,0.1956436676666232
10-16 February 1945,respiratory,1.0,1970,1945,1,0,NSHD,25,1,0.06521455588887438
10-16 February 1946,cancer,0.0,1970,1946,1,0,NSHD,24,1,0.0
10-16 February 1946,cardiovascular,0.0,1970,1946,1,0,NSHD,24,1,0.0
10-16 February 1946,external,3.0,1970,1946,1,0,NSHD,24,1,0.1956436676666232
10-16 February 1946,other,0.0,1970,1946,1,0,NSHD,24,1,0.0
10-16 February 1946,respiratory,0.0,1970,1946,1,0,NSHD,24,1,0.0
10-16 February 1947,cancer,4.0,1970,1947,1,0,NSHD,23,1,0.26085822355549754
10-16 February 1947,cardiovascular,0.0,1970,1947,1,0,NSHD,23,1,0.0
10-16 February 1947,external,6.0,1970,1947,1,0,NSHD,23,1,0.3912873353332464
10-16 February 1947,other,2.0,1970,1947,1,0,NSHD,23,1,0.13042911177774877
10-16 February 1947,respiratory,0.0,1970,1947,1,0,NSHD,23,1,0.0
10-16 February 1948,cancer,1.0,1970,1948,1,0,NSHD,22,1,0.06521455588887438
10-16 February 1948,cardiovascular,0.0,1970,1948,1,0,NSHD,22,1,0.0
10-16 February 1948,external,4.0,1970,1948,1,0,NSHD,22,1,0.26085822355549754
10-16 February 1948,other,1.0,1970,1948,1,0,NSHD,22,1,0.06521455588887438
10-16 February 1948,respiratory,1.0,1970,1948,1,0,NSHD,22,1,0.06521455588887438
10-16 February 1956,cancer,1.0,1970,1956,2,0,NCDS,14,1,0.06521455588887438
10-16 February 1956,cardiovascular,1.0,1970,1956,2,0,NCDS,14,1,0.06521455588887438
10-16 February 1956,external,1.0,1970,1956,2,0,NCDS,14,1,0.06521455588887438
10-16 February 1956,other,1.0,1970,1956,2,0,NCDS,14,1,0.06521455588887438
10-16 February 1956,respiratory,0.0,1970,1956,2,0,NCDS,14,1,0.0
10-16 February 1957,cancer,1.0,1970,1957,2,0,NCDS,13,1,0.06521455588887438
10-16 February 1957,cardiovascular,0.0,1970,1957,2,0,NCDS,13,1,0.0
