spec,coef,se,pval,n,stars
"B: Baseline (all weeks, level rate)",0.06113384312451427,0.029161491597757275,0.03604765813949468,5913,**
R1: Symmetric narrow (weeks 2–8),0.06836604623442237,0.030532898722919897,0.02514976671055805,4599,**
R2: Tightest symmetric (weeks 3–7),0.0876409422571001,0.035900756780641765,0.014638528508312038,3285,**
R3: Log outcome (log rate),0.025475123808092887,0.01909347813613196,0.18212793327343169,5867,
R4: Drop NSHD (NCDS + BCS70),0.026485146155564604,0.023541161816873952,0.260564930332275,3933,
R5: Drop NCDS (NSHD + BCS70),0.1025673925509355,0.03567090357394467,0.004035418707201113,3933,***
R6: Drop BCS70 (NSHD + NCDS),0.054338449023817126,0.04002160076535891,0.17455000024554823,3960,
