Age interval,Cohort coef.,(SE),t,p-value,N
Age 0–9,0.070**,(0.028),2.451,0.014,423
Age 10–19,0.038,(0.047),0.815,0.415,810
Age 20–29,0.039,(0.024),1.595,0.111,"1,170"
Age 30–39,-0.042,(0.048),-0.871,0.384,"1,350"
Age 40–49,0.026,(0.066),0.396,0.692,"1,080"
Age 50–59,0.145,(0.093),1.559,0.119,720
Age 60–69,0.497***,(0.177),2.812,0.005,360
