Year,Sex,Statewide_White,Statewide_Black,Statewide_Gap,Statewide_White_lo,Statewide_White_hi,Statewide_Black_lo,Statewide_Black_hi,Statewide_Gap_lo,Statewide_Gap_hi,Milwaukee_White,Milwaukee_Black,Milwaukee_Gap,Milwaukee_White_lo,Milwaukee_White_hi,Milwaukee_Black_lo,Milwaukee_Black_hi,Milwaukee_Gap_lo,Milwaukee_Gap_hi,Dane_White,Dane_Black,Dane_Gap,Dane_White_lo,Dane_White_hi,Dane_Black_lo,Dane_Black_hi,Dane_Gap_lo,Dane_Gap_hi,Rest_of_WI_White,Rest_of_WI_Black,Rest_of_WI_Gap,Rest_of_WI_White_lo,Rest_of_WI_White_hi,Rest_of_WI_Black_lo,Rest_of_WI_Black_hi,Rest_of_WI_Gap_lo,Rest_of_WI_Gap_hi
2006,Male,77.4,69.83,7.57,77.3,77.51,69.31,70.42,7.0,8.07,76.35,67.73,8.62,76.07,76.68,67.13,68.39,7.88,9.26,79.36,74.08,5.29,79.04,79.76,71.39,81.31,-2.01,8.11,77.37,75.27,2.1,77.23,77.49,74.0,76.9,0.38,3.37
2006,Female,82.05,75.81,6.24,81.94,82.15,75.34,76.29,5.74,6.72,81.28,75.24,6.04,81.02,81.59,74.71,75.83,5.43,6.68,83.27,78.22,5.05,82.87,83.68,75.62,82.39,0.79,7.68,82.06,77.69,4.37,81.95,82.18,76.39,79.13,2.98,5.69
2007,Male,77.62,70.61,7.02,77.52,77.73,70.06,71.15,6.44,7.56,76.66,68.77,7.89,76.32,76.95,68.11,69.39,7.2,8.6,79.6,73.06,6.55,79.22,79.99,71.22,75.83,3.57,8.46,77.57,75.43,2.15,77.45,77.7,74.16,77.36,0.25,3.45
2007,Female,82.22,76.08,6.15,82.12,82.32,75.59,76.66,5.55,6.66,81.51,75.55,5.96,81.23,81.8,74.94,76.17,5.29,6.58,83.43,76.34,7.09,83.08,83.84,74.01,79.25,4.17,9.48,82.22,78.09,4.13,82.1,82.32,76.8,79.61,2.54,5.4
2008,Male,77.84,70.96,6.88,77.74,77.94,70.45,71.47,6.37,7.39,76.86,69.09,7.77,76.57,77.16,68.43,69.69,7.08,8.5,79.72,73.47,6.26,79.32,80.1,71.15,78.02,1.7,8.62,77.79,75.7,2.08,77.66,77.92,74.49,77.7,0.09,3.28
2008,Female,82.52,76.75,5.77,82.41,82.63,76.22,77.28,5.25,6.31,81.83,76.33,5.5,81.55,82.13,75.72,76.9,4.8,6.13,83.69,76.04,7.66,83.32,84.05,74.0,78.87,4.82,9.64,82.49,78.71,3.78,82.36,82.6,77.46,80.07,2.38,5.06
2009,Male,78.0,71.18,6.82,77.89,78.1,70.66,71.81,6.17,7.33,76.97,69.71,7.25,76.69,77.24,69.12,70.32,6.54,7.84,79.9,71.94,7.96,79.51,80.28,69.9,74.99,4.92,9.9,77.96,75.0,2.96,77.85,78.08,73.93,76.61,1.37,4.05
2009,Female,82.64,76.93,5.71,82.55,82.74,76.44,77.47,5.19,6.21,81.86,76.68,5.18,81.56,82.16,76.12,77.28,4.47,5.79,83.91,76.7,7.2,83.53,84.29,74.78,79.88,3.83,9.21,82.62,78.03,4.6,82.51,82.73,76.85,79.4,3.18,5.78
2010,Male,78.07,71.38,6.69,77.96,78.19,70.86,71.93,6.13,7.22,77.09,69.99,7.1,76.81,77.37,69.37,70.61,6.42,7.77,79.76,73.71,6.05,79.36,80.19,71.44,78.61,1.08,8.21,78.04,74.55,3.49,77.91,78.15,73.48,75.85,2.14,4.57
2010,Female,82.65,76.87,5.78,82.54,82.75,76.4,77.38,5.27,6.26,81.97,76.68,5.28,81.66,82.28,76.16,77.23,4.63,5.89,83.91,77.59,6.32,83.58,84.26,75.3,80.66,3.01,8.64,82.61,77.48,5.14,82.49,82.71,76.19,78.88,3.77,6.42
2011,Male,78.11,71.56,6.55,78.0,78.21,71.06,72.13,5.99,7.05,77.28,70.2,7.08,76.99,77.58,69.65,70.8,6.4,7.65,79.7,73.84,5.85,79.34,80.08,71.62,78.47,1.25,8.18,78.06,74.37,3.69,77.94,78.18,73.37,75.61,2.38,4.67
2011,Female,82.5,76.58,5.92,82.39,82.61,76.05,77.05,5.42,6.41,81.76,76.61,5.15,81.5,82.04,76.11,77.23,4.42,5.76,83.66,76.54,7.12,83.29,84.02,74.72,79.93,3.76,8.93,82.48,76.22,6.26,82.36,82.6,75.11,77.4,5.08,7.33
2012,Male,78.09,71.62,6.47,77.98,78.19,71.14,72.19,5.9,7.0,77.3,70.07,7.22,77.01,77.57,69.44,70.64,6.47,7.86,79.56,74.09,5.47,79.18,79.96,72.19,77.85,1.71,7.41,78.04,74.8,3.24,77.94,78.15,73.64,76.19,1.84,4.41
2012,Female,82.38,76.51,5.86,82.27,82.48,76.06,77.02,5.35,6.31,81.79,76.46,5.33,81.5,82.05,75.9,76.99,4.74,5.96,83.61,76.36,7.25,83.25,83.97,74.45,79.81,3.71,9.27,82.33,76.46,5.87,82.22,82.45,75.28,77.65,4.7,7.07
2013,Male,78.16,71.64,6.52,78.07,78.27,71.13,72.17,5.97,7.0,77.56,69.87,7.7,77.29,77.87,69.26,70.48,7.05,8.3,79.74,74.01,5.73,79.43,80.09,72.09,77.6,2.05,7.75,78.06,75.18,2.88,77.94,78.17,74.13,76.52,1.59,3.91
2013,Female,82.38,76.48,5.89,82.27,82.47,76.01,76.99,5.4,6.36,81.99,76.36,5.63,81.72,82.26,75.89,76.95,5.02,6.19,83.4,75.94,7.46,83.05,83.75,74.04,78.53,4.89,9.31,82.31,76.71,5.6,82.2,82.42,75.66,78.01,4.3,6.67
2014,Male,78.08,71.34,6.73,77.98,78.19,70.86,71.86,6.14,7.24,77.53,69.48,8.05,77.2,77.82,68.94,70.09,7.4,8.7,79.87,73.38,6.49,79.49,80.22,71.43,78.18,1.71,8.45,77.95,75.57,2.38,77.82,78.07,74.36,76.93,1.01,3.59
2014,Female,82.31,76.79,5.53,82.21,82.4,76.32,77.31,5.02,6.02,82.23,76.37,5.86,81.95,82.51,75.83,76.95,5.25,6.45,83.41,77.97,5.44,83.06,83.77,76.23,80.74,2.73,7.17,82.2,77.88,4.32,82.09,82.33,76.63,79.27,2.91,5.58
2015,Male,78.06,70.84,7.22,77.97,78.16,70.32,71.34,6.68,7.72,77.69,69.01,8.67,77.37,78.01,68.38,69.6,8.05,9.44,80.21,71.68,8.53,79.86,80.57,70.02,75.49,4.66,10.29,77.88,74.99,2.89,77.78,78.0,73.8,76.28,1.54,4.08
2015,Female,82.24,76.67,5.57,82.15,82.35,76.2,77.19,5.04,6.07,82.19,76.19,6.0,81.9,82.46,75.56,76.79,5.31,6.74,83.46,77.83,5.63,83.13,83.78,76.05,80.24,3.25,7.54,82.12,77.97,4.15,82.01,82.23,76.8,79.34,2.82,5.34
2016,Male,77.95,70.03,7.91,77.85,78.05,69.58,70.55,7.4,8.39,77.48,68.25,9.23,77.19,77.78,67.63,68.9,8.56,9.88,80.21,71.71,8.5,79.87,80.55,69.7,78.93,1.38,10.56,77.78,73.94,3.84,77.65,77.89,72.86,75.16,2.57,4.92
2016,Female,82.25,76.53,5.72,82.16,82.35,76.05,77.02,5.25,6.21,82.05,75.95,6.1,81.77,82.35,75.45,76.55,5.42,6.74,83.73,78.3,5.43,83.37,84.09,76.59,80.53,3.28,7.28,82.13,77.81,4.33,82.01,82.25,76.7,79.1,3.04,5.47
